Quantity,order_id,Item_ID,Price,date
1,24344,22,5.95,2019-06-04 16:59:00
1,24344,169,0.5,2019-06-04 16:59:00
3,24344,179,0.5,2019-06-04 16:59:00
4,24344,216,0.8,2019-06-04 16:59:00
4,24344,215,2.95,2019-06-04 16:59:00
1,24344,193,3.95,2019-06-04 16:59:00
1,24344,48,4.95,2019-06-04 16:59:00
1,24344,53,9.95,2019-06-04 16:59:00
1,24344,55,8.95,2019-06-04 16:59:00
1,24346,22,5.95,2019-06-04 17:43:00
1,24346,216,0.8,2019-06-04 17:43:00
1,24346,190,3.95,2019-06-04 17:43:00
1,24346,239,5.95,2019-06-04 17:43:00
1,24346,54,8.95,2019-06-04 17:43:00
1,24346,223,0.5,2019-06-04 17:43:00
1,24346,269,3.95,2019-06-04 17:43:00
1,24346,99,2.95,2019-06-04 17:43:00
1,24346,193,3.95,2019-06-04 17:43:00
1,24346,121,8.95,2019-06-04 17:43:00
1,24346,67,7.95,2019-06-04 17:43:00
1,24351,22,5.95,2019-06-04 19:18:00
2,24351,194,0.5,2019-06-04 19:18:00
1,24351,216,0.8,2019-06-04 19:18:00
1,24351,51,10.95,2019-06-04 19:18:00
1,24351,135,5.95,2019-06-04 19:18:00
1,24356,22,5.95,2019-06-04 21:30:00
1,24356,215,2.95,2019-06-04 21:30:00
1,24356,192,2.5,2019-06-04 21:30:00
1,24356,40,4.95,2019-06-04 21:30:00
1,24356,121,8.95,2019-06-04 21:30:00
1,24355,52,8.95,2019-06-04 21:08:00
1,24355,110,2.95,2019-06-04 21:08:00
2,24355,190,3.95,2019-06-04 21:08:00
1,24355,215,2.95,2019-06-04 21:08:00
2,24355,192,2.5,2019-06-04 21:08:00
2,24355,178,3.95,2019-06-04 21:08:00
1,24355,236,5.95,2019-06-04 21:08:00
1,24355,48,4.95,2019-06-04 21:08:00
1,24355,206,8.95,2019-06-04 21:08:00
1,24355,14,8.95,2019-06-04 21:08:00
1,24345,214,2.95,2019-06-04 17:28:00
1,24345,215,2.95,2019-06-04 17:28:00
2,24345,192,2.5,2019-06-04 17:28:00
1,24345,51,10.95,2019-06-04 17:28:00
1,24345,26,5.95,2019-06-04 17:28:00
1,24345,62,3.95,2019-06-04 17:28:00
1,24345,3,4.95,2019-06-04 17:28:00
1,24345,170,4.95,2019-06-04 17:28:00
2,24345,119,12.95,2019-06-04 17:28:00
1,24345,204,2.95,2019-06-04 17:28:00
2,24345,219,10.95,2019-06-04 17:28:00
1,24345,163,3.95,2019-06-04 17:28:00
1,24345,46,9.95,2019-06-04 17:28:00
1,24353,217,2.95,2019-06-04 20:04:00
1,24353,258,2.5,2019-06-04 20:04:00
1,24353,238,5.95,2019-06-04 20:04:00
1,24353,261,6.95,2019-06-04 20:04:00
1,24347,169,0.5,2019-06-04 17:56:00
1,24347,179,0.5,2019-06-04 17:56:00
1,24347,194,0.5,2019-06-04 17:56:00
4,24347,216,0.8,2019-06-04 17:56:00
1,24347,190,3.95,2019-06-04 17:56:00
1,24347,192,2.5,2019-06-04 17:56:00
1,24347,258,2.5,2019-06-04 17:56:00
1,24347,271,3.95,2019-06-04 17:56:00
1,24347,170,4.95,2019-06-04 17:56:00
1,24347,158,7.95,2019-06-04 17:56:00
1,24348,169,0.5,2019-06-04 17:57:00
1,24348,179,0.5,2019-06-04 17:57:00
4,24348,216,0.8,2019-06-04 17:57:00
1,24348,215,2.95,2019-06-04 17:57:00
1,24348,192,2.5,2019-06-04 17:57:00
1,24348,64,7.95,2019-06-04 17:57:00
1,24350,169,0.5,2019-06-04 18:51:00
1,24350,54,8.95,2019-06-04 18:51:00
1,24350,215,2.95,2019-06-04 18:51:00
1,24350,192,2.5,2019-06-04 18:51:00
1,24350,51,10.95,2019-06-04 18:51:00
1,24352,34,4.95,2019-06-04 19:24:00
1,24354,212,11.95,2019-06-04 20:32:00
1,24354,90,3.95,2019-06-04 20:32:00
2,24349,126,4.95,2019-06-04 17:58:00
1,24349,274,8.95,2019-06-04 17:58:00
