Quantity,order_id,Item_ID,Price,date
1,24361,52,8.95,2019-06-05 20:48:00
1,24361,110,2.95,2019-06-05 20:48:00
1,24361,34,4.95,2019-06-05 20:48:00
2,24364,214,2.95,2019-06-05 22:34:00
1,24364,217,2.95,2019-06-05 22:34:00
1,24364,149,8.95,2019-06-05 22:34:00
1,24364,267,6.95,2019-06-05 22:34:00
1,24357,217,2.95,2019-06-05 17:08:00
2,24357,169,0.5,2019-06-05 17:08:00
1,24357,179,0.5,2019-06-05 17:08:00
1,24357,194,0.5,2019-06-05 17:08:00
6,24357,216,0.8,2019-06-05 17:08:00
2,24357,54,8.95,2019-06-05 17:08:00
1,24357,215,2.95,2019-06-05 17:08:00
2,24357,192,2.5,2019-06-05 17:08:00
1,24357,178,3.95,2019-06-05 17:08:00
1,24357,62,3.95,2019-06-05 17:08:00
1,24357,185,8.95,2019-06-05 17:08:00
4,24359,217,2.95,2019-06-05 19:17:00
1,24359,27,8.95,2019-06-05 19:17:00
1,24359,259,5.95,2019-06-05 19:17:00
1,24359,148,10.95,2019-06-05 19:17:00
1,24359,4,5.95,2019-06-05 19:17:00
1,24359,23,2.95,2019-06-05 19:17:00
1,24359,173,8.95,2019-06-05 19:17:00
1,24359,81,8.95,2019-06-05 19:17:00
1,24358,179,0.5,2019-06-05 18:59:00
2,24358,216,0.8,2019-06-05 18:59:00
1,24358,190,3.95,2019-06-05 18:59:00
1,24358,215,2.95,2019-06-05 18:59:00
1,24358,223,0.5,2019-06-05 18:59:00
1,24358,30,5.95,2019-06-05 18:59:00
1,24358,55,8.95,2019-06-05 18:59:00
1,24358,189,5.95,2019-06-05 18:59:00
1,24358,202,8.95,2019-06-05 18:59:00
1,24358,196,8.95,2019-06-05 18:59:00
1,24360,27,8.95,2019-06-05 19:41:00
2,24360,215,2.95,2019-06-05 19:41:00
1,24360,192,2.5,2019-06-05 19:41:00
1,24360,50,10.95,2019-06-05 19:41:00
1,24365,54,8.95,2019-06-05 22:37:00
2,24365,215,2.95,2019-06-05 22:37:00
2,24365,192,2.5,2019-06-05 22:37:00
1,24365,48,4.95,2019-06-05 22:37:00
1,24365,62,3.95,2019-06-05 22:37:00
1,24365,121,8.95,2019-06-05 22:37:00
