Quantity,order_id,Item_ID,Price,date
1,24366,22,5.95,2019-06-06 18:09:00
1,24366,263,5.95,2019-06-06 18:09:00
1,24366,30,5.95,2019-06-06 18:09:00
1,24366,100,3.95,2019-06-06 18:09:00
1,24366,23,2.95,2019-06-06 18:09:00
1,24368,22,5.95,2019-06-06 18:54:00
1,24368,192,2.5,2019-06-06 18:54:00
1,24368,48,4.95,2019-06-06 18:54:00
1,24368,3,4.95,2019-06-06 18:54:00
1,24368,40,4.95,2019-06-06 18:54:00
1,24368,91,3.95,2019-06-06 18:54:00
1,24368,94,4.95,2019-06-06 18:54:00
1,24368,14,8.95,2019-06-06 18:54:00
1,24368,58,5.5,2019-06-06 18:54:00
1,24370,22,5.95,2019-06-06 19:57:00
1,24370,194,0.5,2019-06-06 19:57:00
1,24370,215,2.95,2019-06-06 19:57:00
1,24370,12,8.95,2019-06-06 19:57:00
1,24374,216,0.8,2019-06-06 21:32:00
1,24374,223,0.5,2019-06-06 21:32:00
1,24374,99,2.95,2019-06-06 21:32:00
1,24374,193,3.95,2019-06-06 21:32:00
1,24374,94,4.95,2019-06-06 21:32:00
1,24374,186,8.95,2019-06-06 21:32:00
1,24369,27,8.95,2019-06-06 19:41:00
2,24369,190,3.95,2019-06-06 19:41:00
1,24369,192,2.5,2019-06-06 19:41:00
1,24369,236,5.95,2019-06-06 19:41:00
1,24369,88,8.95,2019-06-06 19:41:00
2,24372,190,3.95,2019-06-06 20:47:00
2,24372,215,2.95,2019-06-06 20:47:00
1,24372,192,2.5,2019-06-06 20:47:00
1,24372,36,8.95,2019-06-06 20:47:00
1,24372,43,8.95,2019-06-06 20:47:00
1,24372,236,5.95,2019-06-06 20:47:00
1,24372,37,8.95,2019-06-06 20:47:00
2,24372,121,8.95,2019-06-06 20:47:00
1,24371,33,9.95,2019-06-06 20:35:00
1,24371,96,8.95,2019-06-06 20:35:00
3,24367,192,2.5,2019-06-06 18:51:00
1,24367,256,11.95,2019-06-06 18:51:00
1,24367,135,5.95,2019-06-06 18:51:00
1,24373,99,2.95,2019-06-06 21:21:00
1,24373,193,3.95,2019-06-06 21:21:00
1,24373,202,8.95,2019-06-06 21:21:00
1,24373,262,9.95,2019-06-06 21:21:00
