Quantity,order_id,Item_ID,Price,date
1,24506,22,5.95,2019-06-12 18:32:00
1,24506,215,2.95,2019-06-12 18:32:00
1,24506,192,2.5,2019-06-12 18:32:00
1,24506,193,3.95,2019-06-12 18:32:00
1,24506,48,4.95,2019-06-12 18:32:00
1,24506,35,8.95,2019-06-12 18:32:00
1,24506,158,7.95,2019-06-12 18:32:00
2,24504,110,2.95,2019-06-12 17:46:00
1,24504,179,0.5,2019-06-12 17:46:00
1,24504,194,0.5,2019-06-12 17:46:00
5,24504,216,0.8,2019-06-12 17:46:00
1,24504,190,3.95,2019-06-12 17:46:00
2,24504,54,8.95,2019-06-12 17:46:00
2,24504,215,2.95,2019-06-12 17:46:00
1,24504,193,3.95,2019-06-12 17:46:00
1,24504,158,7.95,2019-06-12 17:46:00
1,24511,110,2.95,2019-06-12 19:56:00
1,24511,169,0.5,2019-06-12 19:56:00
1,24511,54,8.95,2019-06-12 19:56:00
1,24511,215,2.95,2019-06-12 19:56:00
1,24511,34,4.95,2019-06-12 19:56:00
1,24511,271,3.95,2019-06-12 19:56:00
1,24511,241,4.95,2019-06-12 19:56:00
1,24515,110,2.95,2019-06-12 21:28:00
1,24515,169,0.5,2019-06-12 21:28:00
1,24515,190,3.95,2019-06-12 21:28:00
1,24515,215,2.95,2019-06-12 21:28:00
1,24515,121,8.95,2019-06-12 21:28:00
1,24515,71,8.95,2019-06-12 21:28:00
1,24507,217,2.95,2019-06-12 19:15:00
3,24507,216,0.8,2019-06-12 19:15:00
1,24507,192,2.5,2019-06-12 19:15:00
1,24507,48,4.95,2019-06-12 19:15:00
1,24507,126,4.95,2019-06-12 19:15:00
2,24514,217,2.95,2019-06-12 21:08:00
1,24514,192,2.5,2019-06-12 21:08:00
2,24514,121,8.95,2019-06-12 21:08:00
1,24514,122,8.95,2019-06-12 21:08:00
1,24503,169,0.5,2019-06-12 02:59:00
1,24503,215,2.95,2019-06-12 02:59:00
1,24503,178,3.95,2019-06-12 02:59:00
1,24503,193,3.95,2019-06-12 02:59:00
1,24503,245,0.8,2019-06-12 02:59:00
1,24503,106,17.95,2019-06-12 02:59:00
1,24503,59,3.95,2019-06-12 02:59:00
1,24503,66,11.95,2019-06-12 02:59:00
1,24503,68,8.95,2019-06-12 02:59:00
1,24512,169,0.5,2019-06-12 19:58:00
1,24512,32,9.95,2019-06-12 19:58:00
1,24512,215,2.95,2019-06-12 19:58:00
1,24512,99,2.95,2019-06-12 19:58:00
1,24512,3,4.95,2019-06-12 19:58:00
1,24512,240,3.95,2019-06-12 19:58:00
1,24512,147,10.95,2019-06-12 19:58:00
1,24513,179,0.5,2019-06-12 20:31:00
2,24513,216,0.8,2019-06-12 20:31:00
1,24513,190,3.95,2019-06-12 20:31:00
1,24513,215,2.95,2019-06-12 20:31:00
1,24513,223,0.5,2019-06-12 20:31:00
1,24513,30,5.95,2019-06-12 20:31:00
1,24513,55,8.95,2019-06-12 20:31:00
1,24513,189,5.95,2019-06-12 20:31:00
1,24513,202,8.95,2019-06-12 20:31:00
1,24513,196,8.95,2019-06-12 20:31:00
1,24508,190,3.95,2019-06-12 19:31:00
1,24508,54,8.95,2019-06-12 19:31:00
1,24508,99,2.95,2019-06-12 19:31:00
1,24508,193,3.95,2019-06-12 19:31:00
1,24508,259,5.95,2019-06-12 19:31:00
1,24508,138,8.95,2019-06-12 19:31:00
1,24505,31,1.95,2019-06-12 18:12:00
1,24505,107,8.95,2019-06-12 18:12:00
1,24505,204,2.95,2019-06-12 18:12:00
1,24505,4,5.95,2019-06-12 18:12:00
1,24505,67,7.95,2019-06-12 18:12:00
2,24516,33,9.95,2019-06-12 21:29:00
1,24516,58,5.5,2019-06-12 21:29:00
1,24510,192,2.5,2019-06-12 19:38:00
1,24510,178,3.95,2019-06-12 19:38:00
1,24510,51,10.95,2019-06-12 19:38:00
