Quantity,order_id,Item_ID,Price,date
1,24527,5,5.95,2019-06-14 09:24:00
1,24527,22,5.95,2019-06-14 09:24:00
1,24527,4,5.95,2019-06-14 09:24:00
1,24527,6,5.95,2019-06-14 09:24:00
1,24544,5,5.95,2019-06-14 18:50:00
1,24544,169,0.5,2019-06-14 18:50:00
1,24544,190,3.95,2019-06-14 18:50:00
1,24544,54,8.95,2019-06-14 18:50:00
1,24544,99,2.95,2019-06-14 18:50:00
1,24544,193,3.95,2019-06-14 18:50:00
1,24533,22,5.95,2019-06-14 17:44:00
1,24533,49,8.95,2019-06-14 17:44:00
2,24533,192,2.5,2019-06-14 17:44:00
1,24533,78,8.95,2019-06-14 17:44:00
2,24533,241,4.95,2019-06-14 17:44:00
1,24536,22,5.95,2019-06-14 18:12:00
3,24536,215,2.95,2019-06-14 18:12:00
2,24536,133,9.95,2019-06-14 18:12:00
1,24536,113,12.95,2019-06-14 18:12:00
3,24536,121,8.95,2019-06-14 18:12:00
1,24537,22,5.95,2019-06-14 18:18:00
1,24537,190,3.95,2019-06-14 18:18:00
1,24537,31,1.95,2019-06-14 18:18:00
3,24537,49,8.95,2019-06-14 18:18:00
1,24537,215,2.95,2019-06-14 18:18:00
1,24537,192,2.5,2019-06-14 18:18:00
1,24537,249,9.95,2019-06-14 18:18:00
1,24537,11,8.95,2019-06-14 18:18:00
1,24540,22,5.95,2019-06-14 18:40:00
1,24540,192,2.5,2019-06-14 18:40:00
1,24540,195,3.95,2019-06-14 18:40:00
1,24540,158,7.95,2019-06-14 18:40:00
1,24540,228,8.95,2019-06-14 18:40:00
1,24547,22,5.95,2019-06-14 19:13:00
1,24547,110,2.95,2019-06-14 19:13:00
1,24547,190,3.95,2019-06-14 19:13:00
1,24547,180,5.95,2019-06-14 19:13:00
1,24547,88,8.95,2019-06-14 19:13:00
1,24552,22,5.95,2019-06-14 19:33:00
1,24552,169,0.5,2019-06-14 19:33:00
2,24552,216,0.8,2019-06-14 19:33:00
1,24552,215,2.95,2019-06-14 19:33:00
1,24552,192,2.5,2019-06-14 19:33:00
1,24552,111,3.95,2019-06-14 19:33:00
1,24552,271,3.95,2019-06-14 19:33:00
1,24552,204,2.95,2019-06-14 19:33:00
1,24552,130,8.95,2019-06-14 19:33:00
1,24552,11,8.95,2019-06-14 19:33:00
1,24554,22,5.95,2019-06-14 19:43:00
1,24554,192,2.5,2019-06-14 19:43:00
1,24554,193,3.95,2019-06-14 19:43:00
1,24554,35,8.95,2019-06-14 19:43:00
1,24557,22,5.95,2019-06-14 20:24:00
1,24557,217,2.95,2019-06-14 20:24:00
1,24557,169,0.5,2019-06-14 20:24:00
1,24557,223,0.5,2019-06-14 20:24:00
1,24557,30,5.95,2019-06-14 20:24:00
