Quantity,order_id,Item_ID,Price,date
2,24561,22,5.95,2019-06-15 14:42:00
2,24561,54,8.95,2019-06-15 14:42:00
3,24561,215,2.95,2019-06-15 14:42:00
2,24561,192,2.5,2019-06-15 14:42:00
1,24561,11,8.95,2019-06-15 14:42:00
1,24568,22,5.95,2019-06-15 17:48:00
4,24568,216,0.8,2019-06-15 17:48:00
1,24568,49,8.95,2019-06-15 17:48:00
2,24568,215,2.95,2019-06-15 17:48:00
2,24568,192,2.5,2019-06-15 17:48:00
1,24568,236,5.95,2019-06-15 17:48:00
1,24568,12,8.95,2019-06-15 17:48:00
1,24568,13,12.95,2019-06-15 17:48:00
1,24569,22,5.95,2019-06-15 17:52:00
4,24569,216,0.8,2019-06-15 17:52:00
1,24569,54,8.95,2019-06-15 17:52:00
1,24569,215,2.95,2019-06-15 17:52:00
2,24569,192,2.5,2019-06-15 17:52:00
1,24569,178,3.95,2019-06-15 17:52:00
1,24569,248,8.95,2019-06-15 17:52:00
1,24569,48,4.95,2019-06-15 17:52:00
1,24569,189,5.95,2019-06-15 17:52:00
1,24569,116,12.95,2019-06-15 17:52:00
1,24569,208,12.95,2019-06-15 17:52:00
1,24571,22,5.95,2019-06-15 18:02:00
1,24571,169,0.5,2019-06-15 18:02:00
1,24571,216,0.8,2019-06-15 18:02:00
1,24571,215,2.95,2019-06-15 18:02:00
1,24571,223,0.5,2019-06-15 18:02:00
1,24571,193,3.95,2019-06-15 18:02:00
1,24571,12,8.95,2019-06-15 18:02:00
1,24573,22,5.95,2019-06-15 18:07:00
1,24573,110,2.95,2019-06-15 18:07:00
1,24573,217,2.95,2019-06-15 18:07:00
4,24573,216,0.8,2019-06-15 18:07:00
1,24573,31,1.95,2019-06-15 18:07:00
2,24573,278,3.95,2019-06-15 18:07:00
1,24573,65,8.95,2019-06-15 18:07:00
1,24573,241,4.95,2019-06-15 18:07:00
1,24581,22,5.95,2019-06-15 18:36:00
1,24581,52,8.95,2019-06-15 18:36:00
2,24581,216,0.8,2019-06-15 18:36:00
2,24581,215,2.95,2019-06-15 18:36:00
1,24581,192,2.5,2019-06-15 18:36:00
1,24581,223,0.5,2019-06-15 18:36:00
1,24581,204,2.95,2019-06-15 18:36:00
1,24581,79,8.95,2019-06-15 18:36:00
1,24582,22,5.95,2019-06-15 18:36:00
5,24582,216,0.8,2019-06-15 18:36:00
1,24582,190,3.95,2019-06-15 18:36:00
1,24582,263,5.95,2019-06-15 18:36:00
2,24582,223,0.5,2019-06-15 18:36:00
1,24582,271,3.95,2019-06-15 18:36:00
1,24582,163,3.95,2019-06-15 18:36:00
1,24582,115,12.95,2019-06-15 18:36:00
1,24585,22,5.95,2019-06-15 18:45:00
1,24585,247,4.95,2019-06-15 18:45:00
1,24585,192,2.5,2019-06-15 18:45:00
1,24585,273,7.95,2019-06-15 18:45:00
2,24588,22,5.95,2019-06-15 19:00:00
1,24588,110,2.95,2019-06-15 19:00:00
1,24588,32,9.95,2019-06-15 19:00:00
1,24588,54,8.95,2019-06-15 19:00:00
3,24588,215,2.95,2019-06-15 19:00:00
1,24588,192,2.5,2019-06-15 19:00:00
1,24588,35,8.95,2019-06-15 19:00:00
1,24588,4,5.95,2019-06-15 19:00:00
1,24588,273,7.95,2019-06-15 19:00:00
1,24589,22,5.95,2019-06-15 19:11:00
3,24589,194,0.5,2019-06-15 19:11:00
2,24589,216,0.8,2019-06-15 19:11:00
1,24589,215,2.95,2019-06-15 19:11:00
1,24589,193,3.95,2019-06-15 19:11:00
1,24589,135,5.95,2019-06-15 19:11:00
1,24589,12,8.95,2019-06-15 19:11:00
1,24595,22,5.95,2019-06-15 19:51:00
1,24595,27,8.95,2019-06-15 19:51:00
1,24595,215,2.95,2019-06-15 19:51:00
1,24595,192,2.5,2019-06-15 19:51:00
1,24604,22,5.95,2019-06-15 20:42:00
2,24604,214,2.95,2019-06-15 20:42:00
2,24604,190,3.95,2019-06-15 20:42:00
1,24604,54,8.95,2019-06-15 20:42:00
1,24604,11,8.95,2019-06-15 20:42:00
1,24587,52,8.95,2019-06-15 18:49:00
1,24587,179,0.5,2019-06-15 18:49:00
1,24587,194,0.5,2019-06-15 18:49:00
3,24587,216,0.8,2019-06-15 18:49:00
1,24587,223,0.5,2019-06-15 18:49:00
1,24587,99,2.95,2019-06-15 18:49:00
1,24587,193,3.95,2019-06-15 18:49:00
2,24587,245,0.8,2019-06-15 18:49:00
1,24587,119,12.95,2019-06-15 18:49:00
1,24587,238,5.95,2019-06-15 18:49:00
1,24596,52,8.95,2019-06-15 19:51:00
1,24596,27,8.95,2019-06-15 19:51:00
1,24596,99,2.95,2019-06-15 19:51:00
1,24596,236,5.95,2019-06-15 19:51:00
1,24567,110,2.95,2019-06-15 17:39:00
1,24567,49,8.95,2019-06-15 17:39:00
1,24567,244,3.95,2019-06-15 17:39:00
1,24567,193,3.95,2019-06-15 17:39:00
1,24567,40,4.95,2019-06-15 17:39:00
1,24567,163,3.95,2019-06-15 17:39:00
1,24577,110,2.95,2019-06-15 18:17:00
1,24577,247,4.95,2019-06-15 18:17:00
1,24577,54,8.95,2019-06-15 18:17:00
1,24577,215,2.95,2019-06-15 18:17:00
1,24586,110,2.95,2019-06-15 18:48:00
1,24586,215,2.95,2019-06-15 18:48:00
1,24586,4,5.95,2019-06-15 18:48:00
1,24586,158,7.95,2019-06-15 18:48:00
1,24592,110,2.95,2019-06-15 19:30:00
1,24592,214,2.95,2019-06-15 19:30:00
1,24592,54,8.95,2019-06-15 19:30:00
2,24592,215,2.95,2019-06-15 19:30:00
3,24592,48,4.95,2019-06-15 19:30:00
1,24592,161,7.95,2019-06-15 19:30:00
1,24592,125,9.95,2019-06-15 19:30:00
1,24597,110,2.95,2019-06-15 19:56:00
1,24597,239,5.95,2019-06-15 19:56:00
1,24597,215,2.95,2019-06-15 19:56:00
1,24597,192,2.5,2019-06-15 19:56:00
1,24597,189,5.95,2019-06-15 19:56:00
2,24597,121,8.95,2019-06-15 19:56:00
2,24603,110,2.95,2019-06-15 20:37:00
1,24603,217,2.95,2019-06-15 20:37:00
1,24603,32,9.95,2019-06-15 20:37:00
1,24603,190,3.95,2019-06-15 20:37:00
1,24603,215,2.95,2019-06-15 20:37:00
1,24603,99,2.95,2019-06-15 20:37:00
1,24603,91,3.95,2019-06-15 20:37:00
2,24603,158,7.95,2019-06-15 20:37:00
1,24603,231,8.95,2019-06-15 20:37:00
1,24562,127,2.95,2019-06-15 16:40:00
1,24562,190,3.95,2019-06-15 16:40:00
1,24562,256,11.95,2019-06-15 16:40:00
2,24562,206,8.95,2019-06-15 16:40:00
1,24562,185,8.95,2019-06-15 16:40:00
1,24564,214,2.95,2019-06-15 17:21:00
1,24564,193,3.95,2019-06-15 17:21:00
1,24564,57,8.95,2019-06-15 17:21:00
1,24564,73,12.95,2019-06-15 17:21:00
1,24574,214,2.95,2019-06-15 18:10:00
1,24574,215,2.95,2019-06-15 18:10:00
1,24574,193,3.95,2019-06-15 18:10:00
1,24574,254,12.95,2019-06-15 18:10:00
1,24574,124,8.95,2019-06-15 18:10:00
1,24576,214,2.95,2019-06-15 18:16:00
1,24576,244,3.95,2019-06-15 18:16:00
1,24576,236,5.95,2019-06-15 18:16:00
2,24576,193,3.95,2019-06-15 18:16:00
1,24576,229,5.95,2019-06-15 18:16:00
1,24576,200,9.95,2019-06-15 18:16:00
1,24599,214,2.95,2019-06-15 20:05:00
1,24599,217,2.95,2019-06-15 20:05:00
3,24599,169,0.5,2019-06-15 20:05:00
3,24599,179,0.5,2019-06-15 20:05:00
4,24599,216,0.8,2019-06-15 20:05:00
1,24599,32,9.95,2019-06-15 20:05:00
1,24599,54,8.95,2019-06-15 20:05:00
1,24599,215,2.95,2019-06-15 20:05:00
2,24599,34,4.95,2019-06-15 20:05:00
1,24599,236,5.95,2019-06-15 20:05:00
1,24599,62,3.95,2019-06-15 20:05:00
1,24599,229,5.95,2019-06-15 20:05:00
1,24598,217,2.95,2019-06-15 20:04:00
1,24598,190,3.95,2019-06-15 20:04:00
1,24598,269,3.95,2019-06-15 20:04:00
1,24598,178,3.95,2019-06-15 20:04:00
1,24598,99,2.95,2019-06-15 20:04:00
1,24598,191,5.95,2019-06-15 20:04:00
1,24598,189,5.95,2019-06-15 20:04:00
1,24598,121,8.95,2019-06-15 20:04:00
1,24598,14,8.95,2019-06-15 20:04:00
1,24598,78,8.95,2019-06-15 20:04:00
1,24566,156,0.5,2019-06-15 17:39:00
1,24566,194,0.5,2019-06-15 17:39:00
2,24566,216,0.8,2019-06-15 17:39:00
1,24566,215,2.95,2019-06-15 17:39:00
1,24566,192,2.5,2019-06-15 17:39:00
1,24566,92,3.95,2019-06-15 17:39:00
1,24566,204,2.95,2019-06-15 17:39:00
1,24566,138,8.95,2019-06-15 17:39:00
1,24575,169,0.5,2019-06-15 18:13:00
3,24575,216,0.8,2019-06-15 18:13:00
1,24575,132,9.95,2019-06-15 18:13:00
1,24575,215,2.95,2019-06-15 18:13:00
1,24575,192,2.5,2019-06-15 18:13:00
1,24575,248,8.95,2019-06-15 18:13:00
2,24579,169,0.5,2019-06-15 18:30:00
2,24579,216,0.8,2019-06-15 18:30:00
1,24579,33,9.95,2019-06-15 18:30:00
1,24579,192,2.5,2019-06-15 18:30:00
1,24579,193,3.95,2019-06-15 18:30:00
1,24579,158,7.95,2019-06-15 18:30:00
1,24590,169,0.5,2019-06-15 19:21:00
1,24590,194,0.5,2019-06-15 19:21:00
4,24590,216,0.8,2019-06-15 19:21:00
1,24590,263,5.95,2019-06-15 19:21:00
1,24590,215,2.95,2019-06-15 19:21:00
1,24590,192,2.5,2019-06-15 19:21:00
1,24590,193,3.95,2019-06-15 19:21:00
1,24590,225,8.95,2019-06-15 19:21:00
1,24600,169,0.5,2019-06-15 20:12:00
1,24600,194,0.5,2019-06-15 20:12:00
2,24600,216,0.8,2019-06-15 20:12:00
1,24600,215,2.95,2019-06-15 20:12:00
1,24600,221,4.95,2019-06-15 20:12:00
1,24600,118,12.95,2019-06-15 20:12:00
1,24601,169,0.5,2019-06-15 20:29:00
1,24601,194,0.5,2019-06-15 20:29:00
2,24601,216,0.8,2019-06-15 20:29:00
1,24601,49,8.95,2019-06-15 20:29:00
1,24601,250,5.95,2019-06-15 20:29:00
2,24601,58,5.5,2019-06-15 20:29:00
1,24563,179,0.5,2019-06-15 17:07:00
1,24563,194,0.5,2019-06-15 17:07:00
2,24563,31,1.95,2019-06-15 17:07:00
1,24563,178,3.95,2019-06-15 17:07:00
1,24563,100,3.95,2019-06-15 17:07:00
1,24563,150,9.95,2019-06-15 17:07:00
1,24583,179,0.5,2019-06-15 18:43:00
1,24583,216,0.8,2019-06-15 18:43:00
1,24583,193,3.95,2019-06-15 18:43:00
1,24583,9,5.95,2019-06-15 18:43:00
1,24583,28,5.95,2019-06-15 18:43:00
1,24583,246,3.95,2019-06-15 18:43:00
1,24583,251,10.95,2019-06-15 18:43:00
1,24583,112,12.95,2019-06-15 18:43:00
2,24593,179,0.5,2019-06-15 19:31:00
1,24593,49,8.95,2019-06-15 19:31:00
2,24593,215,2.95,2019-06-15 19:31:00
3,24593,192,2.5,2019-06-15 19:31:00
1,24593,48,4.95,2019-06-15 19:31:00
1,24593,273,7.95,2019-06-15 19:31:00
1,24602,216,0.8,2019-06-15 20:29:00
1,24602,269,3.95,2019-06-15 20:29:00
1,24602,236,5.95,2019-06-15 20:29:00
1,24602,4,5.95,2019-06-15 20:29:00
1,24602,17,8.95,2019-06-15 20:29:00
1,24602,90,3.95,2019-06-15 20:29:00
1,24591,32,9.95,2019-06-15 19:26:00
1,24591,192,2.5,2019-06-15 19:26:00
1,24591,244,3.95,2019-06-15 19:26:00
2,24591,99,2.95,2019-06-15 19:26:00
1,24591,236,5.95,2019-06-15 19:26:00
1,24591,158,7.95,2019-06-15 19:26:00
1,24591,121,8.95,2019-06-15 19:26:00
1,24591,81,8.95,2019-06-15 19:26:00
1,24565,190,3.95,2019-06-15 17:37:00
1,24565,223,0.5,2019-06-15 17:37:00
1,24565,171,3.95,2019-06-15 17:37:00
1,24565,158,7.95,2019-06-15 17:37:00
2,24570,190,3.95,2019-06-15 17:59:00
1,24570,215,2.95,2019-06-15 17:59:00
1,24570,152,8.95,2019-06-15 17:59:00
1,24570,102,8.95,2019-06-15 17:59:00
