Quantity,order_id,Item_ID,Price,date
1,24652,22,5.95,2019-06-18 18:34:00
1,24652,263,5.95,2019-06-18 18:34:00
1,24652,215,2.95,2019-06-18 18:34:00
1,24652,193,3.95,2019-06-18 18:34:00
1,24652,28,5.95,2019-06-18 18:34:00
1,24655,22,5.95,2019-06-18 19:07:00
1,24655,110,2.95,2019-06-18 19:07:00
1,24655,190,3.95,2019-06-18 19:07:00
1,24655,36,8.95,2019-06-18 19:07:00
1,24655,193,3.95,2019-06-18 19:07:00
1,24655,88,8.95,2019-06-18 19:07:00
1,24653,110,2.95,2019-06-18 19:00:00
1,24653,190,3.95,2019-06-18 19:00:00
1,24653,213,11.95,2019-06-18 19:00:00
1,24653,165,8.95,2019-06-18 19:00:00
1,24650,214,2.95,2019-06-18 17:41:00
2,24650,190,3.95,2019-06-18 17:41:00
2,24650,54,8.95,2019-06-18 17:41:00
1,24650,192,2.5,2019-06-18 17:41:00
1,24656,214,2.95,2019-06-18 19:15:00
6,24656,179,0.5,2019-06-18 19:15:00
4,24656,194,0.5,2019-06-18 19:15:00
6,24656,216,0.8,2019-06-18 19:15:00
1,24656,190,3.95,2019-06-18 19:15:00
1,24656,192,2.5,2019-06-18 19:15:00
2,24656,223,0.5,2019-06-18 19:15:00
1,24656,244,3.95,2019-06-18 19:15:00
1,24656,178,3.95,2019-06-18 19:15:00
1,24656,271,3.95,2019-06-18 19:15:00
1,24656,170,4.95,2019-06-18 19:15:00
1,24656,261,6.95,2019-06-18 19:15:00
1,24656,158,7.95,2019-06-18 19:15:00
1,24656,65,8.95,2019-06-18 19:15:00
2,24648,217,2.95,2019-06-18 17:26:00
1,24648,192,2.5,2019-06-18 17:26:00
1,24648,171,3.95,2019-06-18 17:26:00
1,24648,204,2.95,2019-06-18 17:26:00
1,24648,180,5.95,2019-06-18 17:26:00
1,24648,158,7.95,2019-06-18 17:26:00
1,24648,121,8.95,2019-06-18 17:26:00
2,24649,217,2.95,2019-06-18 17:28:00
1,24649,179,0.5,2019-06-18 17:28:00
1,24649,216,0.8,2019-06-18 17:28:00
1,24649,99,2.95,2019-06-18 17:28:00
1,24649,133,9.95,2019-06-18 17:28:00
2,24649,126,4.95,2019-06-18 17:28:00
1,24654,217,2.95,2019-06-18 19:06:00
3,24654,192,2.5,2019-06-18 19:06:00
2,24654,191,5.95,2019-06-18 19:06:00
1,24654,53,9.95,2019-06-18 19:06:00
1,24654,57,8.95,2019-06-18 19:06:00
1,24660,156,0.5,2019-06-18 21:54:00
1,24659,169,0.5,2019-06-18 20:41:00
2,24659,216,0.8,2019-06-18 20:41:00
1,24659,54,8.95,2019-06-18 20:41:00
1,24659,215,2.95,2019-06-18 20:41:00
1,24659,192,2.5,2019-06-18 20:41:00
1,24659,222,1.95,2019-06-18 20:41:00
1,24659,193,3.95,2019-06-18 20:41:00
1,24659,133,9.95,2019-06-18 20:41:00
1,24659,171,3.95,2019-06-18 20:41:00
1,24659,241,4.95,2019-06-18 20:41:00
1,24647,194,0.5,2019-06-18 17:02:00
1,24647,101,9.95,2019-06-18 17:02:00
2,24647,245,0.8,2019-06-18 17:02:00
1,24647,189,5.95,2019-06-18 17:02:00
1,24647,238,5.95,2019-06-18 17:02:00
1,24651,194,0.5,2019-06-18 17:58:00
4,24651,216,0.8,2019-06-18 17:58:00
1,24651,190,3.95,2019-06-18 17:58:00
2,24651,236,5.95,2019-06-18 17:58:00
1,24658,132,9.95,2019-06-18 20:03:00
1,24658,192,2.5,2019-06-18 20:03:00
1,24658,244,3.95,2019-06-18 20:03:00
1,24658,258,2.5,2019-06-18 20:03:00
1,24658,221,4.95,2019-06-18 20:03:00
1,24658,57,8.95,2019-06-18 20:03:00
1,24661,54,8.95,2019-06-18 22:39:00
1,24661,215,2.95,2019-06-18 22:39:00
1,24661,106,17.95,2019-06-18 22:39:00
2,24657,269,3.95,2019-06-18 19:54:00
1,24657,30,5.95,2019-06-18 19:54:00
2,24657,259,5.95,2019-06-18 19:54:00
1,24657,8,5.95,2019-06-18 19:54:00
