Quantity,order_id,Item_ID,Price,date
1,24662,5,5.95,2019-06-19 17:25:00
1,24662,32,9.95,2019-06-19 17:25:00
1,24662,190,3.95,2019-06-19 17:25:00
2,24662,99,2.95,2019-06-19 17:25:00
1,24662,85,8.95,2019-06-19 17:25:00
1,24663,22,5.95,2019-06-19 17:36:00
2,24663,194,0.5,2019-06-19 17:36:00
1,24663,216,0.8,2019-06-19 17:36:00
1,24663,51,10.95,2019-06-19 17:36:00
1,24663,135,5.95,2019-06-19 17:36:00
1,24669,22,5.95,2019-06-19 19:09:00
1,24669,217,2.95,2019-06-19 19:09:00
1,24669,179,0.5,2019-06-19 19:09:00
4,24669,216,0.8,2019-06-19 19:09:00
1,24669,223,0.5,2019-06-19 19:09:00
1,24669,51,10.95,2019-06-19 19:09:00
1,24669,150,9.95,2019-06-19 19:09:00
3,24670,110,2.95,2019-06-19 21:48:00
2,24670,216,0.8,2019-06-19 21:48:00
1,24670,48,4.95,2019-06-19 21:48:00
1,24670,111,3.95,2019-06-19 21:48:00
1,24670,145,4.95,2019-06-19 21:48:00
2,24670,245,0.8,2019-06-19 21:48:00
1,24670,163,3.95,2019-06-19 21:48:00
1,24670,146,8.95,2019-06-19 21:48:00
1,24664,169,0.5,2019-06-19 17:47:00
4,24664,216,0.8,2019-06-19 17:47:00
1,24664,54,8.95,2019-06-19 17:47:00
2,24664,33,9.95,2019-06-19 17:47:00
1,24664,223,0.5,2019-06-19 17:47:00
2,24664,244,3.95,2019-06-19 17:47:00
1,24664,236,5.95,2019-06-19 17:47:00
1,24664,69,3.95,2019-06-19 17:47:00
1,24664,65,8.95,2019-06-19 17:47:00
1,24668,179,0.5,2019-06-19 19:01:00
2,24668,216,0.8,2019-06-19 19:01:00
1,24668,190,3.95,2019-06-19 19:01:00
1,24668,215,2.95,2019-06-19 19:01:00
1,24668,223,0.5,2019-06-19 19:01:00
1,24668,30,5.95,2019-06-19 19:01:00
1,24668,55,8.95,2019-06-19 19:01:00
1,24668,189,5.95,2019-06-19 19:01:00
1,24668,202,8.95,2019-06-19 19:01:00
1,24668,196,8.95,2019-06-19 19:01:00
1,24667,190,3.95,2019-06-19 18:48:00
1,24667,238,5.95,2019-06-19 18:48:00
1,24667,121,8.95,2019-06-19 18:48:00
3,24665,31,1.95,2019-06-19 18:23:00
1,24665,244,3.95,2019-06-19 18:23:00
4,24665,99,2.95,2019-06-19 18:23:00
1,24665,259,5.95,2019-06-19 18:23:00
1,24665,155,2.95,2019-06-19 18:23:00
1,24665,104,2.95,2019-06-19 18:23:00
1,24665,57,8.95,2019-06-19 18:23:00
1,24665,148,10.95,2019-06-19 18:23:00
1,24665,199,4.95,2019-06-19 18:23:00
1,24665,167,8.95,2019-06-19 18:23:00
1,24666,133,9.95,2019-06-19 18:27:00
1,24666,262,9.95,2019-06-19 18:27:00
