Quantity,order_id,Item_ID,Price,date
1,24774,22,5.95,2019-06-24 21:10:00
1,24774,192,2.5,2019-06-24 21:10:00
1,24774,35,8.95,2019-06-24 21:10:00
1,24770,214,2.95,2019-06-24 18:53:00
3,24770,190,3.95,2019-06-24 18:53:00
1,24770,215,2.95,2019-06-24 18:53:00
1,24770,150,9.95,2019-06-24 18:53:00
1,24770,121,8.95,2019-06-24 18:53:00
1,24770,67,7.95,2019-06-24 18:53:00
1,24770,123,12.95,2019-06-24 18:53:00
3,24772,216,0.8,2019-06-24 20:05:00
1,24772,27,8.95,2019-06-24 20:05:00
1,24772,215,2.95,2019-06-24 20:05:00
1,24772,192,2.5,2019-06-24 20:05:00
1,24772,50,10.95,2019-06-24 20:05:00
1,24769,247,4.95,2019-06-24 18:29:00
1,24769,27,8.95,2019-06-24 18:29:00
1,24769,215,2.95,2019-06-24 18:29:00
2,24769,99,2.95,2019-06-24 18:29:00
1,24769,236,5.95,2019-06-24 18:29:00
1,24769,48,4.95,2019-06-24 18:29:00
1,24769,133,9.95,2019-06-24 18:29:00
1,24769,126,4.95,2019-06-24 18:29:00
1,24773,27,8.95,2019-06-24 20:31:00
1,24773,192,2.5,2019-06-24 20:31:00
1,24773,178,3.95,2019-06-24 20:31:00
1,24771,54,8.95,2019-06-24 19:48:00
2,24771,193,3.95,2019-06-24 19:48:00
