Quantity,order_id,Item_ID,Price,date
1,24884,5.0,5.95,2019-06-29 21:22:00
1,24884,110.0,2.95,2019-06-29 21:22:00
1,24884,215.0,2.95,2019-06-29 21:22:00
1,24884,193.0,3.95,2019-06-29 21:22:00
1,24884,138.0,8.95,2019-06-29 21:22:00
1,24865,22.0,5.95,2019-06-29 17:59:00
2,24865,216.0,0.8,2019-06-29 17:59:00
2,24865,215.0,2.95,2019-06-29 17:59:00
1,24865,192.0,2.5,2019-06-29 17:59:00
1,24865,50.0,10.95,2019-06-29 17:59:00
1,24865,66.0,11.95,2019-06-29 17:59:00
1,24867,22.0,5.95,2019-06-29 18:06:00
1,24867,217.0,2.95,2019-06-29 18:06:00
2,24867,179.0,0.5,2019-06-29 18:06:00
4,24867,216.0,0.8,2019-06-29 18:06:00
1,24867,192.0,2.5,2019-06-29 18:06:00
2,24867,278.0,3.95,2019-06-29 18:06:00
1,24867,65.0,8.95,2019-06-29 18:06:00
1,24867,241.0,4.95,2019-06-29 18:06:00
1,24871,22.0,5.95,2019-06-29 18:47:00
1,24871,110.0,2.95,2019-06-29 18:47:00
1,24871,169.0,0.5,2019-06-29 18:47:00
4,24871,216.0,0.8,2019-06-29 18:47:00
1,24871,27.0,8.95,2019-06-29 18:47:00
1,24871,54.0,8.95,2019-06-29 18:47:00
2,24871,215.0,2.95,2019-06-29 18:47:00
1,24871,121.0,8.95,2019-06-29 18:47:00
1,24879,22.0,5.95,2019-06-29 19:55:00
1,24879,192.0,2.5,2019-06-29 19:55:00
1,24879,193.0,3.95,2019-06-29 19:55:00
1,24879,35.0,8.95,2019-06-29 19:55:00
1,24880,22.0,5.95,2019-06-29 20:11:00
1,24880,169.0,0.5,2019-06-29 20:11:00
1,24880,215.0,2.95,2019-06-29 20:11:00
1,24880,271.0,3.95,2019-06-29 20:11:00
1,24880,204.0,2.95,2019-06-29 20:11:00
2,24881,22.0,5.95,2019-06-29 20:12:00
1,24881,32.0,9.95,2019-06-29 20:12:00
1,24881,190.0,3.95,2019-06-29 20:12:00
1,24881,215.0,2.95,2019-06-29 20:12:00
1,24881,35.0,8.95,2019-06-29 20:12:00
1,24881,4.0,5.95,2019-06-29 20:12:00
1,24881,273.0,7.95,2019-06-29 20:12:00
1,24878,52.0,8.95,2019-06-29 19:44:00
3,24878,214.0,2.95,2019-06-29 19:44:00
5,24878,216.0,0.8,2019-06-29 19:44:00
1,24878,27.0,8.95,2019-06-29 19:44:00
