Quantity,order_id,Item_ID,Price,date
1,24884,5,5.95,2019-06-29 21:22:00
1,24884,110,2.95,2019-06-29 21:22:00
1,24884,215,2.95,2019-06-29 21:22:00
1,24884,193,3.95,2019-06-29 21:22:00
1,24884,138,8.95,2019-06-29 21:22:00
1,24865,22,5.95,2019-06-29 17:59:00
2,24865,216,0.8,2019-06-29 17:59:00
2,24865,215,2.95,2019-06-29 17:59:00
1,24865,192,2.5,2019-06-29 17:59:00
1,24865,50,10.95,2019-06-29 17:59:00
1,24865,66,11.95,2019-06-29 17:59:00
1,24867,22,5.95,2019-06-29 18:06:00
1,24867,217,2.95,2019-06-29 18:06:00
2,24867,179,0.5,2019-06-29 18:06:00
4,24867,216,0.8,2019-06-29 18:06:00
1,24867,192,2.5,2019-06-29 18:06:00
2,24867,278,3.95,2019-06-29 18:06:00
1,24867,65,8.95,2019-06-29 18:06:00
1,24867,241,4.95,2019-06-29 18:06:00
1,24871,22,5.95,2019-06-29 18:47:00
1,24871,110,2.95,2019-06-29 18:47:00
1,24871,169,0.5,2019-06-29 18:47:00
4,24871,216,0.8,2019-06-29 18:47:00
1,24871,27,8.95,2019-06-29 18:47:00
1,24871,54,8.95,2019-06-29 18:47:00
2,24871,215,2.95,2019-06-29 18:47:00
1,24871,121,8.95,2019-06-29 18:47:00
1,24879,22,5.95,2019-06-29 19:55:00
1,24879,192,2.5,2019-06-29 19:55:00
1,24879,193,3.95,2019-06-29 19:55:00
1,24879,35,8.95,2019-06-29 19:55:00
1,24880,22,5.95,2019-06-29 20:11:00
1,24880,169,0.5,2019-06-29 20:11:00
1,24880,215,2.95,2019-06-29 20:11:00
1,24880,271,3.95,2019-06-29 20:11:00
1,24880,204,2.95,2019-06-29 20:11:00
2,24881,22,5.95,2019-06-29 20:12:00
1,24881,32,9.95,2019-06-29 20:12:00
1,24881,190,3.95,2019-06-29 20:12:00
1,24881,215,2.95,2019-06-29 20:12:00
1,24881,35,8.95,2019-06-29 20:12:00
1,24881,4,5.95,2019-06-29 20:12:00
1,24881,273,7.95,2019-06-29 20:12:00
1,24878,52,8.95,2019-06-29 19:44:00
3,24878,214,2.95,2019-06-29 19:44:00
5,24878,216,0.8,2019-06-29 19:44:00
1,24878,27,8.95,2019-06-29 19:44:00
2,24878,190,3.95,2019-06-29 19:44:00
4,24878,54,8.95,2019-06-29 19:44:00
8,24878,215,2.95,2019-06-29 19:44:00
