Quantity,order_id,Item_ID,Price,date
1,24920,22,5.95,2019-07-02 10:42:00
1,24920,215,2.95,2019-07-02 10:42:00
1,24920,43,8.95,2019-07-02 10:42:00
1,24920,108,12.95,2019-07-02 10:42:00
1,24920,78,8.95,2019-07-02 10:42:00
1,24934,22,5.95,2019-07-02 20:00:00
1,24934,215,2.95,2019-07-02 20:00:00
1,24934,192,2.5,2019-07-02 20:00:00
1,24934,158,7.95,2019-07-02 20:00:00
1,24935,22,5.95,2019-07-02 20:54:00
1,24935,110,2.95,2019-07-02 20:54:00
2,24935,215,2.95,2019-07-02 20:54:00
1,24935,92,3.95,2019-07-02 20:54:00
1,24935,158,7.95,2019-07-02 20:54:00
2,24925,110,2.95,2019-07-02 16:38:00
1,24925,127,2.95,2019-07-02 16:38:00
1,24925,214,2.95,2019-07-02 16:38:00
1,24925,193,3.95,2019-07-02 16:38:00
1,24925,23,2.95,2019-07-02 16:38:00
1,24925,67,7.95,2019-07-02 16:38:00
1,24925,65,8.95,2019-07-02 16:38:00
1,24925,24,2.95,2019-07-02 16:38:00
1,24930,214,2.95,2019-07-02 18:45:00
2,24930,215,2.95,2019-07-02 18:45:00
1,24930,53,9.95,2019-07-02 18:45:00
1,24929,217,2.95,2019-07-02 18:44:00
1,24929,248,8.95,2019-07-02 18:44:00
1,24929,193,3.95,2019-07-02 18:44:00
1,24929,150,9.95,2019-07-02 18:44:00
1,24926,179,0.5,2019-07-02 18:10:00
2,24926,194,0.5,2019-07-02 18:10:00
3,24926,216,0.8,2019-07-02 18:10:00
1,24926,32,9.95,2019-07-02 18:10:00
1,24926,190,3.95,2019-07-02 18:10:00
1,24926,215,2.95,2019-07-02 18:10:00
1,24926,223,0.5,2019-07-02 18:10:00
1,24926,236,5.95,2019-07-02 18:10:00
1,24926,256,11.95,2019-07-02 18:10:00
2,24926,245,0.8,2019-07-02 18:10:00
1,24926,189,5.95,2019-07-02 18:10:00
1,24926,262,9.95,2019-07-02 18:10:00
1,24926,163,3.95,2019-07-02 18:10:00
1,24933,179,0.5,2019-07-02 19:18:00
4,24933,216,0.8,2019-07-02 19:18:00
1,24933,240,3.95,2019-07-02 19:18:00
1,24933,14,8.95,2019-07-02 19:18:00
1,24933,159,8.95,2019-07-02 19:18:00
1,24939,179,0.5,2019-07-02 22:06:00
1,24939,194,0.5,2019-07-02 22:06:00
1,24939,193,3.95,2019-07-02 22:06:00
1,24939,23,2.95,2019-07-02 22:06:00
1,24939,24,2.95,2019-07-02 22:06:00
1,24928,216,0.8,2019-07-02 18:29:00
1,24928,49,8.95,2019-07-02 18:29:00
1,24928,192,2.5,2019-07-02 18:29:00
1,24928,104,2.95,2019-07-02 18:29:00
1,24928,163,3.95,2019-07-02 18:29:00
2,24932,216,0.8,2019-07-02 18:59:00
1,24932,215,2.95,2019-07-02 18:59:00
2,24932,192,2.5,2019-07-02 18:59:00
1,24932,92,3.95,2019-07-02 18:59:00
1,24932,64,7.95,2019-07-02 18:59:00
1,24924,27,8.95,2019-07-02 16:23:00
1,24924,193,3.95,2019-07-02 16:23:00
1,24924,38,8.95,2019-07-02 16:23:00
1,24924,23,2.95,2019-07-02 16:23:00
1,24924,24,2.95,2019-07-02 16:23:00
1,24921,49,8.95,2019-07-02 11:07:00
1,24921,178,3.95,2019-07-02 11:07:00
1,24921,248,8.95,2019-07-02 11:07:00
1,24921,193,3.95,2019-07-02 11:07:00
1,24921,146,8.95,2019-07-02 11:07:00
1,24923,54,8.95,2019-07-02 16:20:00
1,24923,249,9.95,2019-07-02 16:20:00
1,24923,151,8.95,2019-07-02 16:20:00
1,24927,54,8.95,2019-07-02 18:27:00
2,24927,99,2.95,2019-07-02 18:27:00
1,24927,37,8.95,2019-07-02 18:27:00
1,24937,248,8.95,2019-07-02 22:06:00
1,24937,119,12.95,2019-07-02 22:06:00
1,24937,68,8.95,2019-07-02 22:06:00
1,24922,193,3.95,2019-07-02 11:35:00
1,24936,117,5.95,2019-07-02 22:06:00
1,24936,250,5.95,2019-07-02 22:06:00
1,24936,59,3.95,2019-07-02 22:06:00
1,24936,180,5.95,2019-07-02 22:06:00
1,24938,104,2.95,2019-07-02 22:06:00
1,24938,131,8.95,2019-07-02 22:06:00
1,24938,96,8.95,2019-07-02 22:06:00
