Quantity,order_id,Item_ID,Price,date
1,25021,5,5.95,2019-07-06 18:37:00
1,25021,110,2.95,2019-07-06 18:37:00
1,25021,49,8.95,2019-07-06 18:37:00
1,25021,215,2.95,2019-07-06 18:37:00
1,25021,9,5.95,2019-07-06 18:37:00
1,25021,161,7.95,2019-07-06 18:37:00
1,25017,22,5.95,2019-07-06 18:22:00
1,25017,214,2.95,2019-07-06 18:22:00
2,25017,154,3.95,2019-07-06 18:22:00
1,25017,49,8.95,2019-07-06 18:22:00
1,25017,193,3.95,2019-07-06 18:22:00
1,25017,180,5.95,2019-07-06 18:22:00
1,25017,121,8.95,2019-07-06 18:22:00
1,25018,22,5.95,2019-07-06 18:26:00
1,25018,214,2.95,2019-07-06 18:26:00
1,25018,169,0.5,2019-07-06 18:26:00
1,25018,179,0.5,2019-07-06 18:26:00
4,25018,216,0.8,2019-07-06 18:26:00
1,25018,263,5.95,2019-07-06 18:26:00
2,25018,215,2.95,2019-07-06 18:26:00
1,25018,223,0.5,2019-07-06 18:26:00
2,25018,222,1.95,2019-07-06 18:26:00
2,25018,117,5.95,2019-07-06 18:26:00
1,25018,171,3.95,2019-07-06 18:26:00
1,25018,64,7.95,2019-07-06 18:26:00
1,25018,67,7.95,2019-07-06 18:26:00
1,25027,22,5.95,2019-07-06 19:00:00
1,25027,216,0.8,2019-07-06 19:00:00
1,25027,223,0.5,2019-07-06 19:00:00
1,25027,99,2.95,2019-07-06 19:00:00
1,25027,193,3.95,2019-07-06 19:00:00
2,25027,94,4.95,2019-07-06 19:00:00
2,25027,186,8.95,2019-07-06 19:00:00
1,25029,22,5.95,2019-07-06 19:05:00
2,25029,216,0.8,2019-07-06 19:05:00
1,25029,49,8.95,2019-07-06 19:05:00
2,25029,215,2.95,2019-07-06 19:05:00
2,25029,192,2.5,2019-07-06 19:05:00
2,25029,223,0.5,2019-07-06 19:05:00
1,25029,204,2.95,2019-07-06 19:05:00
1,25029,79,8.95,2019-07-06 19:05:00
1,25029,161,7.95,2019-07-06 19:05:00
1,25037,22,5.95,2019-07-06 19:55:00
1,25037,169,0.5,2019-07-06 19:55:00
1,25037,216,0.8,2019-07-06 19:55:00
1,25037,54,8.95,2019-07-06 19:55:00
1,25037,215,2.95,2019-07-06 19:55:00
1,25037,204,2.95,2019-07-06 19:55:00
1,25039,22,5.95,2019-07-06 20:25:00
1,25039,215,2.95,2019-07-06 20:25:00
1,25039,192,2.5,2019-07-06 20:25:00
1,25039,189,5.95,2019-07-06 20:25:00
1,25039,161,7.95,2019-07-06 20:25:00
1,25041,22,5.95,2019-07-06 20:31:00
1,25041,179,0.5,2019-07-06 20:31:00
2,25041,194,0.5,2019-07-06 20:31:00
1,25041,216,0.8,2019-07-06 20:31:00
1,25041,51,10.95,2019-07-06 20:31:00
1,25012,110,2.95,2019-07-06 17:43:00
1,25012,190,3.95,2019-07-06 17:43:00
1,25012,221,4.95,2019-07-06 17:43:00
1,25012,28,5.95,2019-07-06 17:43:00
1,25012,41,8.95,2019-07-06 17:43:00
1,25012,126,4.95,2019-07-06 17:43:00
1,25012,85,8.95,2019-07-06 17:43:00
1,25012,228,8.95,2019-07-06 17:43:00
1,25014,110,2.95,2019-07-06 18:05:00
1,25014,169,0.5,2019-07-06 18:05:00
2,25014,216,0.8,2019-07-06 18:05:00
1,25014,27,8.95,2019-07-06 18:05:00
1,25014,49,8.95,2019-07-06 18:05:00
1,25014,215,2.95,2019-07-06 18:05:00
1,25014,192,2.5,2019-07-06 18:05:00
1,25014,244,3.95,2019-07-06 18:05:00
1,25014,163,3.95,2019-07-06 18:05:00
1,25014,180,5.95,2019-07-06 18:05:00
1,25038,110,2.95,2019-07-06 20:24:00
1,25038,169,0.5,2019-07-06 20:24:00
1,25038,179,0.5,2019-07-06 20:24:00
1,25038,215,2.95,2019-07-06 20:24:00
1,25038,36,8.95,2019-07-06 20:24:00
1,25038,223,0.5,2019-07-06 20:24:00
1,25038,271,3.95,2019-07-06 20:24:00
1,25038,121,8.95,2019-07-06 20:24:00
1,25006,127,2.95,2019-07-06 16:32:00
1,25006,190,3.95,2019-07-06 16:32:00
1,25006,102,8.95,2019-07-06 16:32:00
1,25006,206,8.95,2019-07-06 16:32:00
1,25006,185,8.95,2019-07-06 16:32:00
1,25019,214,2.95,2019-07-06 18:28:00
1,25019,179,0.5,2019-07-06 18:28:00
1,25019,194,0.5,2019-07-06 18:28:00
1,25019,190,3.95,2019-07-06 18:28:00
1,25019,239,5.95,2019-07-06 18:28:00
1,25019,54,8.95,2019-07-06 18:28:00
1,25019,48,4.95,2019-07-06 18:28:00
1,25033,214,2.95,2019-07-06 19:33:00
2,25033,216,0.8,2019-07-06 19:33:00
1,25033,49,8.95,2019-07-06 19:33:00
2,25033,215,2.95,2019-07-06 19:33:00
1,25033,269,3.95,2019-07-06 19:33:00
1,25033,236,5.95,2019-07-06 19:33:00
1,25033,191,5.95,2019-07-06 19:33:00
1,25033,121,8.95,2019-07-06 19:33:00
2,25022,217,2.95,2019-07-06 18:39:00
1,25022,216,0.8,2019-07-06 18:39:00
2,25022,192,2.5,2019-07-06 18:39:00
1,25022,64,7.95,2019-07-06 18:39:00
1,25028,217,2.95,2019-07-06 19:05:00
1,25028,26,5.95,2019-07-06 19:05:00
1,25028,259,5.95,2019-07-06 19:05:00
1,25028,240,3.95,2019-07-06 19:05:00
1,25028,254,12.95,2019-07-06 19:05:00
1,25028,121,8.95,2019-07-06 19:05:00
1,25008,156,0.5,2019-07-06 17:19:00
1,25008,169,0.5,2019-07-06 17:19:00
2,25008,216,0.8,2019-07-06 17:19:00
1,25008,49,8.95,2019-07-06 17:19:00
1,25008,215,2.95,2019-07-06 17:19:00
1,25008,9,5.95,2019-07-06 17:19:00
2,25008,250,5.95,2019-07-06 17:19:00
1,25008,96,8.95,2019-07-06 17:19:00
2,25008,58,5.5,2019-07-06 17:19:00
1,25007,169,0.5,2019-07-06 17:18:00
1,25007,216,0.8,2019-07-06 17:18:00
1,25007,215,2.95,2019-07-06 17:18:00
1,25007,223,0.5,2019-07-06 17:18:00
1,25007,193,3.95,2019-07-06 17:18:00
1,25007,117,5.95,2019-07-06 17:18:00
1,25007,122,8.95,2019-07-06 17:18:00
1,25016,169,0.5,2019-07-06 18:22:00
1,25016,179,0.5,2019-07-06 18:22:00
4,25016,216,0.8,2019-07-06 18:22:00
2,25016,215,2.95,2019-07-06 18:22:00
1,25016,192,2.5,2019-07-06 18:22:00
1,25016,236,5.95,2019-07-06 18:22:00
1,25016,193,3.95,2019-07-06 18:22:00
1,25016,271,3.95,2019-07-06 18:22:00
1,25016,202,8.95,2019-07-06 18:22:00
1,25016,246,3.95,2019-07-06 18:22:00
1,25020,169,0.5,2019-07-06 18:35:00
1,25020,216,0.8,2019-07-06 18:35:00
1,25020,215,2.95,2019-07-06 18:35:00
1,25020,193,3.95,2019-07-06 18:35:00
1,25020,64,7.95,2019-07-06 18:35:00
1,25032,169,0.5,2019-07-06 19:20:00
1,25032,194,0.5,2019-07-06 19:20:00
4,25032,216,0.8,2019-07-06 19:20:00
1,25032,263,5.95,2019-07-06 19:20:00
1,25032,215,2.95,2019-07-06 19:20:00
1,25032,192,2.5,2019-07-06 19:20:00
1,25032,193,3.95,2019-07-06 19:20:00
1,25032,225,8.95,2019-07-06 19:20:00
2,25042,169,0.5,2019-07-06 21:16:00
1,25042,181,2.95,2019-07-06 21:16:00
1,25042,34,4.95,2019-07-06 21:16:00
1,25042,256,11.95,2019-07-06 21:16:00
1,25042,133,9.95,2019-07-06 21:16:00
1,25026,179,0.5,2019-07-06 18:58:00
1,25026,216,0.8,2019-07-06 18:58:00
1,25026,193,3.95,2019-07-06 18:58:00
1,25026,9,5.95,2019-07-06 18:58:00
1,25026,28,5.95,2019-07-06 18:58:00
1,25026,246,3.95,2019-07-06 18:58:00
1,25026,251,10.95,2019-07-06 18:58:00
1,25026,112,12.95,2019-07-06 18:58:00
1,25005,216,0.8,2019-07-06 12:16:00
1,25005,42,10.95,2019-07-06 12:16:00
1,25005,193,3.95,2019-07-06 12:16:00
1,25005,153,9.95,2019-07-06 12:16:00
1,25005,11,8.95,2019-07-06 12:16:00
4,25013,216,0.8,2019-07-06 18:03:00
2,25013,223,0.5,2019-07-06 18:03:00
2,25013,99,2.95,2019-07-06 18:03:00
1,25013,256,11.95,2019-07-06 18:03:00
1,25013,133,9.95,2019-07-06 18:03:00
1,25013,153,9.95,2019-07-06 18:03:00
2,25035,216,0.8,2019-07-06 19:43:00
1,25035,54,8.95,2019-07-06 19:43:00
1,25035,192,2.5,2019-07-06 19:43:00
1,25035,99,2.95,2019-07-06 19:43:00
1,25035,51,10.95,2019-07-06 19:43:00
1,25035,236,5.95,2019-07-06 19:43:00
1,25035,193,3.95,2019-07-06 19:43:00
1,25035,171,3.95,2019-07-06 19:43:00
1,25035,126,4.95,2019-07-06 19:43:00
1,25035,163,3.95,2019-07-06 19:43:00
1,25015,27,8.95,2019-07-06 18:20:00
1,25015,192,2.5,2019-07-06 18:20:00
2,25015,269,3.95,2019-07-06 18:20:00
1,25015,99,2.95,2019-07-06 18:20:00
