Quantity,order_id,Item_ID,Price,date
1,25092,5,5.95,2019-07-10 18:46:00
1,25092,214,2.95,2019-07-10 18:46:00
1,25092,169,0.5,2019-07-10 18:46:00
1,25092,215,2.95,2019-07-10 18:46:00
1,25092,85,8.95,2019-07-10 18:46:00
1,25092,228,8.95,2019-07-10 18:46:00
1,25093,5,5.95,2019-07-10 18:56:00
1,25093,22,5.95,2019-07-10 18:56:00
2,25093,216,0.8,2019-07-10 18:56:00
1,25093,49,8.95,2019-07-10 18:56:00
2,25093,215,2.95,2019-07-10 18:56:00
1,25093,192,2.5,2019-07-10 18:56:00
1,25093,48,4.95,2019-07-10 18:56:00
1,25093,50,10.95,2019-07-10 18:56:00
1,25093,35,8.95,2019-07-10 18:56:00
1,25087,22,5.95,2019-07-10 18:03:00
1,25087,169,0.5,2019-07-10 18:03:00
1,25087,215,2.95,2019-07-10 18:03:00
1,25087,271,3.95,2019-07-10 18:03:00
1,25087,204,2.95,2019-07-10 18:03:00
1,25094,22,5.95,2019-07-10 19:27:00
1,25094,179,0.5,2019-07-10 19:27:00
1,25094,216,0.8,2019-07-10 19:27:00
1,25094,215,2.95,2019-07-10 19:27:00
1,25094,192,2.5,2019-07-10 19:27:00
1,25094,228,8.95,2019-07-10 19:27:00
1,25094,124,8.95,2019-07-10 19:27:00
1,25089,110,2.95,2019-07-10 18:13:00
1,25089,179,0.5,2019-07-10 18:13:00
1,25089,194,0.5,2019-07-10 18:13:00
4,25089,216,0.8,2019-07-10 18:13:00
1,25089,54,8.95,2019-07-10 18:13:00
2,25089,215,2.95,2019-07-10 18:13:00
1,25089,193,3.95,2019-07-10 18:13:00
1,25089,158,7.95,2019-07-10 18:13:00
1,25097,127,2.95,2019-07-10 20:37:00
1,25097,169,0.5,2019-07-10 20:37:00
2,25097,269,3.95,2019-07-10 20:37:00
1,25097,229,5.95,2019-07-10 20:37:00
1,25086,217,2.95,2019-07-10 17:40:00
1,25086,27,8.95,2019-07-10 17:40:00
1,25086,192,2.5,2019-07-10 17:40:00
1,25086,271,3.95,2019-07-10 17:40:00
2,25091,217,2.95,2019-07-10 18:38:00
1,25091,190,3.95,2019-07-10 18:38:00
1,25091,54,8.95,2019-07-10 18:38:00
1,25091,192,2.5,2019-07-10 18:38:00
1,25091,48,4.95,2019-07-10 18:38:00
1,25091,86,8.95,2019-07-10 18:38:00
1,25091,241,4.95,2019-07-10 18:38:00
1,25090,27,8.95,2019-07-10 18:20:00
1,25090,239,5.95,2019-07-10 18:20:00
1,25096,239,5.95,2019-07-10 20:06:00
1,25096,33,9.95,2019-07-10 20:06:00
1,25096,192,2.5,2019-07-10 20:06:00
1,25096,58,5.5,2019-07-10 20:06:00
1,25088,215,2.95,2019-07-10 18:08:00
1,25088,92,3.95,2019-07-10 18:08:00
1,25088,104,2.95,2019-07-10 18:08:00
1,25088,276,7.95,2019-07-10 18:08:00
1,25095,215,2.95,2019-07-10 19:49:00
1,25095,178,3.95,2019-07-10 19:49:00
1,25095,248,8.95,2019-07-10 19:49:00
1,25095,40,4.95,2019-07-10 19:49:00
1,25095,68,8.95,2019-07-10 19:49:00
4,25085,192,2.5,2019-07-10 17:25:00
1,25085,121,8.95,2019-07-10 17:25:00
1,25085,67,7.95,2019-07-10 17:25:00
