Quantity,order_id,Item_ID,Price,date
1,25100,22,5.95,2019-07-11 16:04:00
1,25100,215,2.95,2019-07-11 16:04:00
1,25100,99,2.95,2019-07-11 16:04:00
1,25100,158,7.95,2019-07-11 16:04:00
1,25100,64,7.95,2019-07-11 16:04:00
1,25102,22,5.95,2019-07-11 18:09:00
1,25102,217,2.95,2019-07-11 18:09:00
1,25102,27,8.95,2019-07-11 18:09:00
1,25102,54,8.95,2019-07-11 18:09:00
1,25102,244,3.95,2019-07-11 18:09:00
2,25102,99,2.95,2019-07-11 18:09:00
1,25102,28,5.95,2019-07-11 18:09:00
1,25102,257,2.95,2019-07-11 18:09:00
1,25102,85,8.95,2019-07-11 18:09:00
1,25103,22,5.95,2019-07-11 18:46:00
1,25103,263,5.95,2019-07-11 18:46:00
1,25103,215,2.95,2019-07-11 18:46:00
2,25103,193,3.95,2019-07-11 18:46:00
1,25103,28,5.95,2019-07-11 18:46:00
1,25103,23,2.95,2019-07-11 18:46:00
1,25107,22,5.95,2019-07-11 19:29:00
1,25107,179,0.5,2019-07-11 19:29:00
2,25107,194,0.5,2019-07-11 19:29:00
1,25107,216,0.8,2019-07-11 19:29:00
1,25107,215,2.95,2019-07-11 19:29:00
1,25107,12,8.95,2019-07-11 19:29:00
1,25109,22,5.95,2019-07-11 19:37:00
1,25109,190,3.95,2019-07-11 19:37:00
1,25109,36,8.95,2019-07-11 19:37:00
1,25109,99,2.95,2019-07-11 19:37:00
1,25109,193,3.95,2019-07-11 19:37:00
1,25109,183,8.95,2019-07-11 19:37:00
1,25109,46,9.95,2019-07-11 19:37:00
1,25113,22,5.95,2019-07-11 20:22:00
1,25113,192,2.5,2019-07-11 20:22:00
1,25113,35,8.95,2019-07-11 20:22:00
1,25106,52,8.95,2019-07-11 19:10:00
1,25106,179,0.5,2019-07-11 19:10:00
4,25106,216,0.8,2019-07-11 19:10:00
1,25106,190,3.95,2019-07-11 19:10:00
1,25106,239,5.95,2019-07-11 19:10:00
1,25106,31,1.95,2019-07-11 19:10:00
1,25106,49,8.95,2019-07-11 19:10:00
1,25106,215,2.95,2019-07-11 19:10:00
1,25106,223,0.5,2019-07-11 19:10:00
1,25106,99,2.95,2019-07-11 19:10:00
1,25106,135,5.95,2019-07-11 19:10:00
2,25106,245,0.8,2019-07-11 19:10:00
1,25106,17,8.95,2019-07-11 19:10:00
1,25110,156,0.5,2019-07-11 19:48:00
1,25110,169,0.5,2019-07-11 19:48:00
1,25110,179,0.5,2019-07-11 19:48:00
6,25110,216,0.8,2019-07-11 19:48:00
1,25110,190,3.95,2019-07-11 19:48:00
1,25110,54,8.95,2019-07-11 19:48:00
1,25110,215,2.95,2019-07-11 19:48:00
1,25110,192,2.5,2019-07-11 19:48:00
1,25110,9,5.95,2019-07-11 19:48:00
1,25110,50,10.95,2019-07-11 19:48:00
1,25110,106,17.95,2019-07-11 19:48:00
1,25110,137,8.95,2019-07-11 19:48:00
1,25099,169,0.5,2019-07-11 12:09:00
1,25099,132,9.95,2019-07-11 12:09:00
1,25099,181,2.95,2019-07-11 12:09:00
2,25099,215,2.95,2019-07-11 12:09:00
1,25099,192,2.5,2019-07-11 12:09:00
1,25099,47,8.95,2019-07-11 12:09:00
1,25099,78,8.95,2019-07-11 12:09:00
1,25111,179,0.5,2019-07-11 19:51:00
2,25111,216,0.8,2019-07-11 19:51:00
1,25111,190,3.95,2019-07-11 19:51:00
1,25111,239,5.95,2019-07-11 19:51:00
1,25111,215,2.95,2019-07-11 19:51:00
1,25111,223,0.5,2019-07-11 19:51:00
1,25111,193,3.95,2019-07-11 19:51:00
1,25111,30,5.95,2019-07-11 19:51:00
1,25111,55,8.95,2019-07-11 19:51:00
1,25111,202,8.95,2019-07-11 19:51:00
1,25111,196,8.95,2019-07-11 19:51:00
1,25104,27,8.95,2019-07-11 18:49:00
2,25104,192,2.5,2019-07-11 18:49:00
1,25104,223,0.5,2019-07-11 18:49:00
1,25104,248,8.95,2019-07-11 18:49:00
1,25104,145,4.95,2019-07-11 18:49:00
1,25104,241,4.95,2019-07-11 18:49:00
1,25112,54,8.95,2019-07-11 20:03:00
1,25112,215,2.95,2019-07-11 20:03:00
1,25112,192,2.5,2019-07-11 20:03:00
2,25112,178,3.95,2019-07-11 20:03:00
4,25101,215,2.95,2019-07-11 18:00:00
6,25101,192,2.5,2019-07-11 18:00:00
1,25101,149,8.95,2019-07-11 18:00:00
2,25101,148,10.95,2019-07-11 18:00:00
1,25101,14,8.95,2019-07-11 18:00:00
1,25101,12,8.95,2019-07-11 18:00:00
1,25101,13,12.95,2019-07-11 18:00:00
1,25105,215,2.95,2019-07-11 19:04:00
1,25105,99,2.95,2019-07-11 19:04:00
1,25105,256,11.95,2019-07-11 19:04:00
1,25105,133,9.95,2019-07-11 19:04:00
1,25105,204,2.95,2019-07-11 19:04:00
1,25105,126,4.95,2019-07-11 19:04:00
1,25108,192,2.5,2019-07-11 19:34:00
1,25108,256,11.95,2019-07-11 19:34:00
