Quantity,order_id,Item_ID,Price,date
1,25155,5,5.95,2019-07-13 18:20:00
1,25155,27,8.95,2019-07-13 18:20:00
1,25155,215,2.95,2019-07-13 18:20:00
2,25155,99,2.95,2019-07-13 18:20:00
1,25155,236,5.95,2019-07-13 18:20:00
1,25155,193,3.95,2019-07-13 18:20:00
1,25155,256,11.95,2019-07-13 18:20:00
1,25155,55,8.95,2019-07-13 18:20:00
1,25155,195,3.95,2019-07-13 18:20:00
1,25155,143,9.95,2019-07-13 18:20:00
1,25148,22,5.95,2019-07-13 17:40:00
1,25148,110,2.95,2019-07-13 17:40:00
1,25148,217,2.95,2019-07-13 17:40:00
1,25148,156,0.5,2019-07-13 17:40:00
1,25148,169,0.5,2019-07-13 17:40:00
2,25148,179,0.5,2019-07-13 17:40:00
4,25148,216,0.8,2019-07-13 17:40:00
1,25148,54,8.95,2019-07-13 17:40:00
2,25148,278,3.95,2019-07-13 17:40:00
1,25149,22,5.95,2019-07-13 17:44:00
1,25149,179,0.5,2019-07-13 17:44:00
2,25149,258,2.5,2019-07-13 17:44:00
1,25149,48,4.95,2019-07-13 17:44:00
1,25163,22,5.95,2019-07-13 19:48:00
1,25163,192,2.5,2019-07-13 19:48:00
1,25163,35,8.95,2019-07-13 19:48:00
1,25171,22,5.95,2019-07-13 20:28:00
1,25171,190,3.95,2019-07-13 20:28:00
2,25171,54,8.95,2019-07-13 20:28:00
2,25171,204,2.95,2019-07-13 20:28:00
1,25161,110,2.95,2019-07-13 19:32:00
1,25161,190,3.95,2019-07-13 19:32:00
2,25161,54,8.95,2019-07-13 19:32:00
1,25161,215,2.95,2019-07-13 19:32:00
1,25161,192,2.5,2019-07-13 19:32:00
2,25161,171,3.95,2019-07-13 19:32:00
1,25144,127,2.95,2019-07-13 17:09:00
1,25144,190,3.95,2019-07-13 17:09:00
1,25144,256,11.95,2019-07-13 17:09:00
2,25144,206,8.95,2019-07-13 17:09:00
1,25144,185,8.95,2019-07-13 17:09:00
1,25150,214,2.95,2019-07-13 17:53:00
1,25150,154,3.95,2019-07-13 17:53:00
1,25150,263,5.95,2019-07-13 17:53:00
1,25150,54,8.95,2019-07-13 17:53:00
1,25150,178,3.95,2019-07-13 17:53:00
1,25150,149,8.95,2019-07-13 17:53:00
1,25150,271,3.95,2019-07-13 17:53:00
1,25150,39,8.95,2019-07-13 17:53:00
1,25150,28,5.95,2019-07-13 17:53:00
1,25150,171,3.95,2019-07-13 17:53:00
1,25150,195,3.95,2019-07-13 17:53:00
1,25150,100,3.95,2019-07-13 17:53:00
1,25150,199,4.95,2019-07-13 17:53:00
1,25153,214,2.95,2019-07-13 18:07:00
1,25153,179,0.5,2019-07-13 18:07:00
1,25153,194,0.5,2019-07-13 18:07:00
1,25153,190,3.95,2019-07-13 18:07:00
1,25153,239,5.95,2019-07-13 18:07:00
1,25153,54,8.95,2019-07-13 18:07:00
1,25153,48,4.95,2019-07-13 18:07:00
2,25154,214,2.95,2019-07-13 18:08:00
1,25154,190,3.95,2019-07-13 18:08:00
1,25154,54,8.95,2019-07-13 18:08:00
1,25154,92,3.95,2019-07-13 18:08:00
1,25154,99,2.95,2019-07-13 18:08:00
1,25154,193,3.95,2019-07-13 18:08:00
1,25154,48,4.95,2019-07-13 18:08:00
1,25154,163,3.95,2019-07-13 18:08:00
1,25154,11,8.95,2019-07-13 18:08:00
1,25159,214,2.95,2019-07-13 19:18:00
1,25159,179,0.5,2019-07-13 19:18:00
1,25159,216,0.8,2019-07-13 19:18:00
1,25159,193,3.95,2019-07-13 19:18:00
1,25159,9,5.95,2019-07-13 19:18:00
1,25159,28,5.95,2019-07-13 19:18:00
1,25159,246,3.95,2019-07-13 19:18:00
1,25159,251,10.95,2019-07-13 19:18:00
1,25159,116,12.95,2019-07-13 19:18:00
1,25160,214,2.95,2019-07-13 19:24:00
1,25160,215,2.95,2019-07-13 19:24:00
1,25160,236,5.95,2019-07-13 19:24:00
1,25160,191,5.95,2019-07-13 19:24:00
1,25160,121,8.95,2019-07-13 19:24:00
2,25142,217,2.95,2019-07-13 16:25:00
1,25142,267,6.95,2019-07-13 16:25:00
1,25142,228,8.95,2019-07-13 16:25:00
1,25162,217,2.95,2019-07-13 19:39:00
1,25162,192,2.5,2019-07-13 19:39:00
1,25162,64,7.95,2019-07-13 19:39:00
1,25162,24,2.95,2019-07-13 19:39:00
1,25165,217,2.95,2019-07-13 19:51:00
1,25165,169,0.5,2019-07-13 19:51:00
2,25165,216,0.8,2019-07-13 19:51:00
1,25165,248,8.95,2019-07-13 19:51:00
1,25165,9,5.95,2019-07-13 19:51:00
1,25165,259,5.95,2019-07-13 19:51:00
1,25169,217,2.95,2019-07-13 20:13:00
3,25169,216,0.8,2019-07-13 20:13:00
1,25169,192,2.5,2019-07-13 20:13:00
1,25169,48,4.95,2019-07-13 20:13:00
1,25169,91,3.95,2019-07-13 20:13:00
1,25169,14,8.95,2019-07-13 20:13:00
1,25169,231,8.95,2019-07-13 20:13:00
1,25151,169,0.5,2019-07-13 17:55:00
2,25151,192,2.5,2019-07-13 17:55:00
1,25151,271,3.95,2019-07-13 17:55:00
1,25151,78,8.95,2019-07-13 17:55:00
1,25156,169,0.5,2019-07-13 18:21:00
1,25156,216,0.8,2019-07-13 18:21:00
1,25156,215,2.95,2019-07-13 18:21:00
1,25156,193,3.95,2019-07-13 18:21:00
1,25156,64,7.95,2019-07-13 18:21:00
1,25167,169,0.5,2019-07-13 19:52:00
1,25167,194,0.5,2019-07-13 19:52:00
4,25167,216,0.8,2019-07-13 19:52:00
1,25167,263,5.95,2019-07-13 19:52:00
1,25167,215,2.95,2019-07-13 19:52:00
1,25167,192,2.5,2019-07-13 19:52:00
1,25167,225,8.95,2019-07-13 19:52:00
1,25164,179,0.5,2019-07-13 19:51:00
6,25164,216,0.8,2019-07-13 19:51:00
3,25164,49,8.95,2019-07-13 19:51:00
2,25164,215,2.95,2019-07-13 19:51:00
1,25164,99,2.95,2019-07-13 19:51:00
1,25164,145,4.95,2019-07-13 19:51:00
1,25164,136,9.95,2019-07-13 19:51:00
1,25173,179,0.5,2019-07-13 22:29:00
1,25173,216,0.8,2019-07-13 22:29:00
1,25173,221,4.95,2019-07-13 22:29:00
1,25173,133,9.95,2019-07-13 22:29:00
1,25143,194,0.5,2019-07-13 16:47:00
1,25143,215,2.95,2019-07-13 16:47:00
1,25143,33,9.95,2019-07-13 16:47:00
1,25143,192,2.5,2019-07-13 16:47:00
1,25143,67,7.95,2019-07-13 16:47:00
2,25152,216,0.8,2019-07-13 18:04:00
1,25152,190,3.95,2019-07-13 18:04:00
1,25152,215,2.95,2019-07-13 18:04:00
2,25152,192,2.5,2019-07-13 18:04:00
1,25152,170,4.95,2019-07-13 18:04:00
1,25152,158,7.95,2019-07-13 18:04:00
1,25152,121,8.95,2019-07-13 18:04:00
1,25157,247,4.95,2019-07-13 19:00:00
1,25157,271,3.95,2019-07-13 19:00:00
1,25157,151,8.95,2019-07-13 19:00:00
1,25158,247,4.95,2019-07-13 19:08:00
1,25158,263,5.95,2019-07-13 19:08:00
1,25158,258,2.5,2019-07-13 19:08:00
1,25158,100,3.95,2019-07-13 19:08:00
1,25158,173,8.95,2019-07-13 19:08:00
1,25168,27,8.95,2019-07-13 19:54:00
1,25168,54,8.95,2019-07-13 19:54:00
2,25168,215,2.95,2019-07-13 19:54:00
1,25168,213,11.95,2019-07-13 19:54:00
2,25168,246,3.95,2019-07-13 19:54:00
1,25170,27,8.95,2019-07-13 20:26:00
1,25170,256,11.95,2019-07-13 20:26:00
1,25170,91,3.95,2019-07-13 20:26:00
1,25170,148,10.95,2019-07-13 20:26:00
1,25147,190,3.95,2019-07-13 17:34:00
1,25147,192,2.5,2019-07-13 17:34:00
1,25147,55,8.95,2019-07-13 17:34:00
1,25166,239,5.95,2019-07-13 19:51:00
1,25166,215,2.95,2019-07-13 19:51:00
1,25166,193,3.95,2019-07-13 19:51:00
1,25166,30,5.95,2019-07-13 19:51:00
1,25145,215,2.95,2019-07-13 17:24:00
1,25145,192,2.5,2019-07-13 17:24:00
1,25145,240,3.95,2019-07-13 17:24:00
1,25145,85,8.95,2019-07-13 17:24:00
1,25145,273,7.95,2019-07-13 17:24:00
1,25172,48,4.95,2019-07-13 20:44:00
2,25172,271,3.95,2019-07-13 20:44:00
1,25172,121,8.95,2019-07-13 20:44:00
1,25172,85,8.95,2019-07-13 20:44:00
1,25146,265,7.95,2019-07-13 17:26:00
1,25146,158,7.95,2019-07-13 17:26:00
2,25141,158,7.95,2019-07-13 12:35:00
