Quantity,order_id,Item_ID,Price,date
1,25182,5,5.95,2019-07-14 19:14:00
2,25182,216,0.8,2019-07-14 19:14:00
1,25182,27,8.95,2019-07-14 19:14:00
1,25182,215,2.95,2019-07-14 19:14:00
1,25182,192,2.5,2019-07-14 19:14:00
1,25182,50,10.95,2019-07-14 19:14:00
1,25178,22,5.95,2019-07-14 18:20:00
7,25178,216,0.8,2019-07-14 18:20:00
2,25178,190,3.95,2019-07-14 18:20:00
1,25178,33,9.95,2019-07-14 18:20:00
2,25178,223,0.5,2019-07-14 18:20:00
1,25178,92,3.95,2019-07-14 18:20:00
1,25178,193,3.95,2019-07-14 18:20:00
1,25178,278,3.95,2019-07-14 18:20:00
1,25178,28,5.95,2019-07-14 18:20:00
1,25178,163,3.95,2019-07-14 18:20:00
1,25181,22,5.95,2019-07-14 19:10:00
1,25181,179,0.5,2019-07-14 19:10:00
2,25181,194,0.5,2019-07-14 19:10:00
1,25181,216,0.8,2019-07-14 19:10:00
1,25181,215,2.95,2019-07-14 19:10:00
1,25181,12,8.95,2019-07-14 19:10:00
1,25177,110,2.95,2019-07-14 18:10:00
1,25177,217,2.95,2019-07-14 18:10:00
4,25177,216,0.8,2019-07-14 18:10:00
1,25177,27,8.95,2019-07-14 18:10:00
2,25177,215,2.95,2019-07-14 18:10:00
1,25177,14,8.95,2019-07-14 18:10:00
1,25177,78,8.95,2019-07-14 18:10:00
1,25187,110,2.95,2019-07-14 20:48:00
1,25187,179,0.5,2019-07-14 20:48:00
1,25187,216,0.8,2019-07-14 20:48:00
1,25187,190,3.95,2019-07-14 20:48:00
1,25187,36,8.95,2019-07-14 20:48:00
1,25187,236,5.95,2019-07-14 20:48:00
1,25187,135,5.95,2019-07-14 20:48:00
1,25187,151,8.95,2019-07-14 20:48:00
1,25192,110,2.95,2019-07-14 22:44:00
1,25192,54,8.95,2019-07-14 22:44:00
2,25192,215,2.95,2019-07-14 22:44:00
1,25192,193,3.95,2019-07-14 22:44:00
1,25192,23,2.95,2019-07-14 22:44:00
2,25186,127,2.95,2019-07-14 20:21:00
1,25186,179,0.5,2019-07-14 20:21:00
1,25186,194,0.5,2019-07-14 20:21:00
1,25186,30,5.95,2019-07-14 20:21:00
1,25186,191,5.95,2019-07-14 20:21:00
1,25186,135,5.95,2019-07-14 20:21:00
1,25188,214,2.95,2019-07-14 20:59:00
1,25188,31,1.95,2019-07-14 20:59:00
1,25188,54,8.95,2019-07-14 20:59:00
1,25188,215,2.95,2019-07-14 20:59:00
1,25188,236,5.95,2019-07-14 20:59:00
1,25188,104,2.95,2019-07-14 20:59:00
1,25188,78,8.95,2019-07-14 20:59:00
1,25188,225,8.95,2019-07-14 20:59:00
1,25180,217,2.95,2019-07-14 18:32:00
1,25180,27,8.95,2019-07-14 18:32:00
1,25180,236,5.95,2019-07-14 18:32:00
1,25180,185,8.95,2019-07-14 18:32:00
1,25185,217,2.95,2019-07-14 19:47:00
1,25185,54,8.95,2019-07-14 19:47:00
1,25185,193,3.95,2019-07-14 19:47:00
1,25191,156,0.5,2019-07-14 21:57:00
1,25191,269,3.95,2019-07-14 21:57:00
1,25191,99,2.95,2019-07-14 21:57:00
1,25191,276,7.95,2019-07-14 21:57:00
1,25179,169,0.5,2019-07-14 18:29:00
1,25179,179,0.5,2019-07-14 18:29:00
1,25179,194,0.5,2019-07-14 18:29:00
2,25179,216,0.8,2019-07-14 18:29:00
1,25179,223,0.5,2019-07-14 18:29:00
1,25179,51,10.95,2019-07-14 18:29:00
1,25179,236,5.95,2019-07-14 18:29:00
1,25190,169,0.5,2019-07-14 21:54:00
1,25190,216,0.8,2019-07-14 21:54:00
1,25190,239,5.95,2019-07-14 21:54:00
1,25190,51,10.95,2019-07-14 21:54:00
1,25190,11,8.95,2019-07-14 21:54:00
1,25174,179,0.5,2019-07-14 17:44:00
1,25174,194,0.5,2019-07-14 17:44:00
1,25174,192,2.5,2019-07-14 17:44:00
1,25174,91,3.95,2019-07-14 17:44:00
1,25174,122,8.95,2019-07-14 17:44:00
1,25175,179,0.5,2019-07-14 17:46:00
2,25175,216,0.8,2019-07-14 17:46:00
1,25175,99,2.95,2019-07-14 17:46:00
1,25175,193,3.95,2019-07-14 17:46:00
1,25175,256,11.95,2019-07-14 17:46:00
1,25175,271,3.95,2019-07-14 17:46:00
1,25175,171,3.95,2019-07-14 17:46:00
1,25175,195,3.95,2019-07-14 17:46:00
1,25175,143,9.95,2019-07-14 17:46:00
2,25175,121,8.95,2019-07-14 17:46:00
1,25183,194,0.5,2019-07-14 19:22:00
2,25183,216,0.8,2019-07-14 19:22:00
1,25183,54,8.95,2019-07-14 19:22:00
1,25183,192,2.5,2019-07-14 19:22:00
1,25183,195,3.95,2019-07-14 19:22:00
1,25183,151,8.95,2019-07-14 19:22:00
1,25183,91,3.95,2019-07-14 19:22:00
2,25184,31,1.95,2019-07-14 19:23:00
1,25184,178,3.95,2019-07-14 19:23:00
1,25184,236,5.95,2019-07-14 19:23:00
1,25184,195,3.95,2019-07-14 19:23:00
1,25184,166,8.95,2019-07-14 19:23:00
1,25176,54,8.95,2019-07-14 17:56:00
1,25176,244,3.95,2019-07-14 17:56:00
1,25176,170,4.95,2019-07-14 17:56:00
1,25176,11,8.95,2019-07-14 17:56:00
1,25189,135,5.95,2019-07-14 21:34:00
1,25189,133,9.95,2019-07-14 21:34:00
