Quantity,order_id,Item_ID,Price,date
2,25197,22,5.95,2019-07-15 18:51:00
2,25197,258,2.5,2019-07-15 18:51:00
1,25199,22,5.95,2019-07-15 19:44:00
1,25199,192,2.5,2019-07-15 19:44:00
1,25199,35,8.95,2019-07-15 19:44:00
1,25196,214,2.95,2019-07-15 18:42:00
2,25196,215,2.95,2019-07-15 18:42:00
1,25196,237,5.95,2019-07-15 18:42:00
1,25196,9,5.95,2019-07-15 18:42:00
1,25196,118,12.95,2019-07-15 18:42:00
1,25196,257,2.95,2019-07-15 18:42:00
1,25196,121,8.95,2019-07-15 18:42:00
1,25196,14,8.95,2019-07-15 18:42:00
1,25196,80,12.95,2019-07-15 18:42:00
1,25202,214,2.95,2019-07-15 20:11:00
1,25202,215,2.95,2019-07-15 20:11:00
1,25202,193,3.95,2019-07-15 20:11:00
1,25202,53,9.95,2019-07-15 20:11:00
1,25202,40,4.95,2019-07-15 20:11:00
1,25194,156,0.5,2019-07-15 18:01:00
1,25194,169,0.5,2019-07-15 18:01:00
7,25194,216,0.8,2019-07-15 18:01:00
1,25194,247,4.95,2019-07-15 18:01:00
1,25194,215,2.95,2019-07-15 18:01:00
1,25194,66,11.95,2019-07-15 18:01:00
1,25200,194,0.5,2019-07-15 19:59:00
1,25200,99,2.95,2019-07-15 19:59:00
1,25200,101,9.95,2019-07-15 19:59:00
1,25200,9,5.95,2019-07-15 19:59:00
2,25200,245,0.8,2019-07-15 19:59:00
1,25200,238,5.95,2019-07-15 19:59:00
1,25198,216,0.8,2019-07-15 19:33:00
1,25198,215,2.95,2019-07-15 19:33:00
1,25198,192,2.5,2019-07-15 19:33:00
1,25198,222,1.95,2019-07-15 19:33:00
1,25198,193,3.95,2019-07-15 19:33:00
1,25198,135,5.95,2019-07-15 19:33:00
1,25198,171,3.95,2019-07-15 19:33:00
1,25198,11,8.95,2019-07-15 19:33:00
1,25193,32,9.95,2019-07-15 17:11:00
1,25193,181,2.95,2019-07-15 17:11:00
2,25193,215,2.95,2019-07-15 17:11:00
1,25193,48,4.95,2019-07-15 17:11:00
1,25193,228,8.95,2019-07-15 17:11:00
1,25201,190,3.95,2019-07-15 20:05:00
1,25201,31,1.95,2019-07-15 20:05:00
1,25201,215,2.95,2019-07-15 20:05:00
1,25201,178,3.95,2019-07-15 20:05:00
1,25201,99,2.95,2019-07-15 20:05:00
1,25201,236,5.95,2019-07-15 20:05:00
1,25201,259,5.95,2019-07-15 20:05:00
1,25201,271,3.95,2019-07-15 20:05:00
1,25201,191,5.95,2019-07-15 20:05:00
1,25201,40,4.95,2019-07-15 20:05:00
1,25201,8,5.95,2019-07-15 20:05:00
1,25201,45,10.95,2019-07-15 20:05:00
1,25201,231,8.95,2019-07-15 20:05:00
2,25195,54,8.95,2019-07-15 18:28:00
