Quantity,order_id,Item_ID,Price,date
1,25235,22,5.95,2019-07-18 18:48:00
1,25235,54,8.95,2019-07-18 18:48:00
1,25235,192,2.5,2019-07-18 18:48:00
1,25235,99,2.95,2019-07-18 18:48:00
1,25235,23,2.95,2019-07-18 18:48:00
1,25236,22,5.95,2019-07-18 18:49:00
1,25236,110,2.95,2019-07-18 18:49:00
1,25236,216,0.8,2019-07-18 18:49:00
2,25236,33,9.95,2019-07-18 18:49:00
1,25236,69,3.95,2019-07-18 18:49:00
1,25236,126,4.95,2019-07-18 18:49:00
1,25243,22,5.95,2019-07-18 20:17:00
1,25243,215,2.95,2019-07-18 20:17:00
1,25243,192,2.5,2019-07-18 20:17:00
1,25243,189,5.95,2019-07-18 20:17:00
1,25243,161,7.95,2019-07-18 20:17:00
1,25228,110,2.95,2019-07-18 15:44:00
3,25228,127,2.95,2019-07-18 15:44:00
1,25228,214,2.95,2019-07-18 15:44:00
1,25228,178,3.95,2019-07-18 15:44:00
1,25228,99,2.95,2019-07-18 15:44:00
1,25233,110,2.95,2019-07-18 18:08:00
1,25233,214,2.95,2019-07-18 18:08:00
1,25233,169,0.5,2019-07-18 18:08:00
1,25233,215,2.95,2019-07-18 18:08:00
1,25233,192,2.5,2019-07-18 18:08:00
1,25233,99,2.95,2019-07-18 18:08:00
1,25233,193,3.95,2019-07-18 18:08:00
1,25233,256,11.95,2019-07-18 18:08:00
1,25233,62,3.95,2019-07-18 18:08:00
1,25233,45,10.95,2019-07-18 18:08:00
1,25233,122,8.95,2019-07-18 18:08:00
1,25238,110,2.95,2019-07-18 18:57:00
1,25238,169,0.5,2019-07-18 18:57:00
1,25238,229,5.95,2019-07-18 18:57:00
1,25238,135,5.95,2019-07-18 18:57:00
1,25238,117,5.95,2019-07-18 18:57:00
2,25238,245,0.8,2019-07-18 18:57:00
1,25238,102,8.95,2019-07-18 18:57:00
1,25238,58,5.5,2019-07-18 18:57:00
1,25229,217,2.95,2019-07-18 16:50:00
2,25229,179,0.5,2019-07-18 16:50:00
1,25229,193,3.95,2019-07-18 16:50:00
1,25229,195,3.95,2019-07-18 16:50:00
1,25229,102,8.95,2019-07-18 16:50:00
1,25229,121,8.95,2019-07-18 16:50:00
1,25229,20,8.95,2019-07-18 16:50:00
2,25237,217,2.95,2019-07-18 18:55:00
2,25237,54,8.95,2019-07-18 18:55:00
1,25237,192,2.5,2019-07-18 18:55:00
1,25240,169,0.5,2019-07-18 19:02:00
1,25240,216,0.8,2019-07-18 19:02:00
1,25240,215,2.95,2019-07-18 19:02:00
1,25240,178,3.95,2019-07-18 19:02:00
1,25240,99,2.95,2019-07-18 19:02:00
1,25240,249,9.95,2019-07-18 19:02:00
2,25244,169,0.5,2019-07-18 20:23:00
4,25244,216,0.8,2019-07-18 20:23:00
1,25244,49,8.95,2019-07-18 20:23:00
1,25244,43,8.95,2019-07-18 20:23:00
1,25244,99,2.95,2019-07-18 20:23:00
1,25244,51,10.95,2019-07-18 20:23:00
1,25244,271,3.95,2019-07-18 20:23:00
1,25244,136,9.95,2019-07-18 20:23:00
1,25244,143,9.95,2019-07-18 20:23:00
1,25234,179,0.5,2019-07-18 18:27:00
2,25234,216,0.8,2019-07-18 18:27:00
1,25234,190,3.95,2019-07-18 18:27:00
1,25234,239,5.95,2019-07-18 18:27:00
1,25234,215,2.95,2019-07-18 18:27:00
1,25234,223,0.5,2019-07-18 18:27:00
1,25234,30,5.95,2019-07-18 18:27:00
1,25234,55,8.95,2019-07-18 18:27:00
1,25234,189,5.95,2019-07-18 18:27:00
1,25234,202,8.95,2019-07-18 18:27:00
1,25234,196,8.95,2019-07-18 18:27:00
1,25232,190,3.95,2019-07-18 18:00:00
1,25232,244,3.95,2019-07-18 18:00:00
1,25232,246,3.95,2019-07-18 18:00:00
1,25232,180,5.95,2019-07-18 18:00:00
1,25232,158,7.95,2019-07-18 18:00:00
1,25232,273,7.95,2019-07-18 18:00:00
1,25241,132,9.95,2019-07-18 19:07:00
2,25241,99,2.95,2019-07-18 19:07:00
1,25241,51,10.95,2019-07-18 19:07:00
1,25241,11,8.95,2019-07-18 19:07:00
1,25231,33,9.95,2019-07-18 17:51:00
1,25231,192,2.5,2019-07-18 17:51:00
1,25231,193,3.95,2019-07-18 17:51:00
1,25231,121,8.95,2019-07-18 17:51:00
1,25226,192,2.5,2019-07-18 12:18:00
1,25226,99,2.95,2019-07-18 12:18:00
1,25226,221,4.95,2019-07-18 12:18:00
2,25226,271,3.95,2019-07-18 12:18:00
1,25226,171,3.95,2019-07-18 12:18:00
1,25226,102,8.95,2019-07-18 12:18:00
4,25242,258,2.5,2019-07-18 19:39:00
1,25242,48,4.95,2019-07-18 19:39:00
1,25242,229,5.95,2019-07-18 19:39:00
1,25242,145,4.95,2019-07-18 19:39:00
1,25242,255,12.95,2019-07-18 19:39:00
1,25230,92,3.95,2019-07-18 17:30:00
1,25230,133,9.95,2019-07-18 17:30:00
1,25230,69,3.95,2019-07-18 17:30:00
1,25239,34,4.95,2019-07-18 19:00:00
2,25227,53,9.95,2019-07-18 15:40:00
1,25227,39,8.95,2019-07-18 15:40:00
