Quantity,order_id,Item_ID,Price,date
1,25296,5,5.95,2019-07-20 19:10:00
1,25296,169,0.5,2019-07-20 19:10:00
1,25296,194,0.5,2019-07-20 19:10:00
2,25296,216,0.8,2019-07-20 19:10:00
1,25296,27,8.95,2019-07-20 19:10:00
1,25296,215,2.95,2019-07-20 19:10:00
1,25296,192,2.5,2019-07-20 19:10:00
1,25296,50,10.95,2019-07-20 19:10:00
1,25301,5,5.95,2019-07-20 19:28:00
1,25301,253,11.95,2019-07-20 19:28:00
1,25301,215,2.95,2019-07-20 19:28:00
1,25301,258,2.5,2019-07-20 19:28:00
1,25301,252,11.95,2019-07-20 19:28:00
2,25282,22,5.95,2019-07-20 17:57:00
4,25282,169,0.5,2019-07-20 17:57:00
5,25282,216,0.8,2019-07-20 17:57:00
2,25282,215,2.95,2019-07-20 17:57:00
1,25282,192,2.5,2019-07-20 17:57:00
1,25282,99,2.95,2019-07-20 17:57:00
1,25282,189,5.95,2019-07-20 17:57:00
1,25282,238,5.95,2019-07-20 17:57:00
2,25282,121,8.95,2019-07-20 17:57:00
1,25285,22,5.95,2019-07-20 18:15:00
2,25285,217,2.95,2019-07-20 18:15:00
6,25285,216,0.8,2019-07-20 18:15:00
2,25285,192,2.5,2019-07-20 18:15:00
1,25285,278,3.95,2019-07-20 18:15:00
1,25285,122,8.95,2019-07-20 18:15:00
1,25285,65,8.95,2019-07-20 18:15:00
1,25285,241,4.95,2019-07-20 18:15:00
1,25292,22,5.95,2019-07-20 18:51:00
1,25292,52,8.95,2019-07-20 18:51:00
3,25292,216,0.8,2019-07-20 18:51:00
1,25292,49,8.95,2019-07-20 18:51:00
2,25292,215,2.95,2019-07-20 18:51:00
2,25292,192,2.5,2019-07-20 18:51:00
2,25292,223,0.5,2019-07-20 18:51:00
1,25292,204,2.95,2019-07-20 18:51:00
1,25292,79,8.95,2019-07-20 18:51:00
1,25294,22,5.95,2019-07-20 18:58:00
1,25294,190,3.95,2019-07-20 18:58:00
1,25294,54,8.95,2019-07-20 18:58:00
1,25294,215,2.95,2019-07-20 18:58:00
3,25294,192,2.5,2019-07-20 18:58:00
1,25294,193,3.95,2019-07-20 18:58:00
1,25294,256,11.95,2019-07-20 18:58:00
1,25294,64,7.95,2019-07-20 18:58:00
1,25294,12,8.95,2019-07-20 18:58:00
1,25294,207,8.95,2019-07-20 18:58:00
1,25303,22,5.95,2019-07-20 19:50:00
3,25303,110,2.95,2019-07-20 19:50:00
1,25303,31,1.95,2019-07-20 19:50:00
1,25303,54,8.95,2019-07-20 19:50:00
1,25303,215,2.95,2019-07-20 19:50:00
2,25303,51,10.95,2019-07-20 19:50:00
1,25303,170,4.95,2019-07-20 19:50:00
1,25303,228,8.95,2019-07-20 19:50:00
1,25300,110,2.95,2019-07-20 19:26:00
1,25300,169,0.5,2019-07-20 19:26:00
1,25300,179,0.5,2019-07-20 19:26:00
2,25300,216,0.8,2019-07-20 19:26:00
1,25300,215,2.95,2019-07-20 19:26:00
3,25300,192,2.5,2019-07-20 19:26:00
1,25300,266,8.95,2019-07-20 19:26:00
1,25300,39,8.95,2019-07-20 19:26:00
1,25300,245,0.8,2019-07-20 19:26:00
3,25302,110,2.95,2019-07-20 19:38:00
1,25302,217,2.95,2019-07-20 19:38:00
1,25302,31,1.95,2019-07-20 19:38:00
1,25302,54,8.95,2019-07-20 19:38:00
2,25302,51,10.95,2019-07-20 19:38:00
1,25302,170,4.95,2019-07-20 19:38:00
1,25277,127,2.95,2019-07-20 16:39:00
1,25277,190,3.95,2019-07-20 16:39:00
1,25277,256,11.95,2019-07-20 16:39:00
2,25277,206,8.95,2019-07-20 16:39:00
1,25277,185,8.95,2019-07-20 16:39:00
1,25298,214,2.95,2019-07-20 19:17:00
1,25298,256,11.95,2019-07-20 19:17:00
1,25298,113,12.95,2019-07-20 19:17:00
1,25309,214,2.95,2019-07-20 22:22:00
1,25309,190,3.95,2019-07-20 22:22:00
1,25309,99,2.95,2019-07-20 22:22:00
1,25309,193,3.95,2019-07-20 22:22:00
1,25309,189,5.95,2019-07-20 22:22:00
1,25309,240,3.95,2019-07-20 22:22:00
1,25309,153,9.95,2019-07-20 22:22:00
1,25309,198,8.95,2019-07-20 22:22:00
1,25286,169,0.5,2019-07-20 18:25:00
1,25286,216,0.8,2019-07-20 18:25:00
1,25286,215,2.95,2019-07-20 18:25:00
1,25286,193,3.95,2019-07-20 18:25:00
1,25286,64,7.95,2019-07-20 18:25:00
2,25291,169,0.5,2019-07-20 18:47:00
3,25291,216,0.8,2019-07-20 18:47:00
1,25291,132,9.95,2019-07-20 18:47:00
1,25291,54,8.95,2019-07-20 18:47:00
2,25291,215,2.95,2019-07-20 18:47:00
2,25291,192,2.5,2019-07-20 18:47:00
1,25291,248,8.95,2019-07-20 18:47:00
1,25299,169,0.5,2019-07-20 19:25:00
1,25299,194,0.5,2019-07-20 19:25:00
4,25299,216,0.8,2019-07-20 19:25:00
1,25299,263,5.95,2019-07-20 19:25:00
1,25299,215,2.95,2019-07-20 19:25:00
1,25299,192,2.5,2019-07-20 19:25:00
1,25299,193,3.95,2019-07-20 19:25:00
1,25299,225,8.95,2019-07-20 19:25:00
1,25306,169,0.5,2019-07-20 20:13:00
1,25306,194,0.5,2019-07-20 20:13:00
