Quantity,order_id,Item_ID,Price,date
1,25312,22,5.95,2019-07-21 16:56:00
1,25312,214,2.95,2019-07-21 16:56:00
1,25312,54,8.95,2019-07-21 16:56:00
1,25315,22,5.95,2019-07-21 17:37:00
1,25315,110,2.95,2019-07-21 17:37:00
1,25315,216,0.8,2019-07-21 17:37:00
1,25315,215,2.95,2019-07-21 17:37:00
1,25315,206,8.95,2019-07-21 17:37:00
1,25319,22,5.95,2019-07-21 18:12:00
1,25319,214,2.95,2019-07-21 18:12:00
1,25319,263,5.95,2019-07-21 18:12:00
1,25319,215,2.95,2019-07-21 18:12:00
2,25319,193,3.95,2019-07-21 18:12:00
1,25319,98,5.95,2019-07-21 18:12:00
1,25319,28,5.95,2019-07-21 18:12:00
1,25319,23,2.95,2019-07-21 18:12:00
1,25314,52,8.95,2019-07-21 17:30:00
3,25314,216,0.8,2019-07-21 17:30:00
1,25314,215,2.95,2019-07-21 17:30:00
1,25314,99,2.95,2019-07-21 17:30:00
1,25314,51,10.95,2019-07-21 17:30:00
1,25314,236,5.95,2019-07-21 17:30:00
1,25314,193,3.95,2019-07-21 17:30:00
1,25314,271,3.95,2019-07-21 17:30:00
1,25314,119,12.95,2019-07-21 17:30:00
1,25320,217,2.95,2019-07-21 18:39:00
2,25320,190,3.95,2019-07-21 18:39:00
1,25320,239,5.95,2019-07-21 18:39:00
1,25320,99,2.95,2019-07-21 18:39:00
1,25320,193,3.95,2019-07-21 18:39:00
1,25320,37,8.95,2019-07-21 18:39:00
1,25320,81,8.95,2019-07-21 18:39:00
1,25322,217,2.95,2019-07-21 19:03:00
1,25322,216,0.8,2019-07-21 19:03:00
1,25322,215,2.95,2019-07-21 19:03:00
1,25322,192,2.5,2019-07-21 19:03:00
2,25322,223,0.5,2019-07-21 19:03:00
1,25322,99,2.95,2019-07-21 19:03:00
1,25322,2,5.95,2019-07-21 19:03:00
1,25322,97,8.95,2019-07-21 19:03:00
1,25322,274,8.95,2019-07-21 19:03:00
1,25316,154,3.95,2019-07-21 17:40:00
1,25316,193,3.95,2019-07-21 17:40:00
1,25316,67,7.95,2019-07-21 17:40:00
1,25325,156,0.5,2019-07-21 19:50:00
1,25325,169,0.5,2019-07-21 19:50:00
1,25325,179,0.5,2019-07-21 19:50:00
1,25325,216,0.8,2019-07-21 19:50:00
1,25325,27,8.95,2019-07-21 19:50:00
1,25325,258,2.5,2019-07-21 19:50:00
1,25325,104,2.95,2019-07-21 19:50:00
1,25325,257,2.95,2019-07-21 19:50:00
1,25326,179,0.5,2019-07-21 20:04:00
2,25326,216,0.8,2019-07-21 20:04:00
1,25326,99,2.95,2019-07-21 20:04:00
1,25326,193,3.95,2019-07-21 20:04:00
1,25326,256,11.95,2019-07-21 20:04:00
1,25326,271,3.95,2019-07-21 20:04:00
1,25326,171,3.95,2019-07-21 20:04:00
1,25326,195,3.95,2019-07-21 20:04:00
1,25326,143,9.95,2019-07-21 20:04:00
2,25326,121,8.95,2019-07-21 20:04:00
2,25317,31,1.95,2019-07-21 17:43:00
1,25317,192,2.5,2019-07-21 17:43:00
1,25317,256,11.95,2019-07-21 17:43:00
1,25317,9,5.95,2019-07-21 17:43:00
1,25317,30,5.95,2019-07-21 17:43:00
1,25317,238,5.95,2019-07-21 17:43:00
1,25317,220,9.95,2019-07-21 17:43:00
1,25321,31,1.95,2019-07-21 18:51:00
1,25321,215,2.95,2019-07-21 18:51:00
1,25321,33,9.95,2019-07-21 18:51:00
1,25321,192,2.5,2019-07-21 18:51:00
1,25321,85,8.95,2019-07-21 18:51:00
1,25321,78,8.95,2019-07-21 18:51:00
1,25318,263,5.95,2019-07-21 17:51:00
1,25318,215,2.95,2019-07-21 17:51:00
1,25318,148,10.95,2019-07-21 17:51:00
1,25318,161,7.95,2019-07-21 17:51:00
1,25324,215,2.95,2019-07-21 19:15:00
1,25324,99,2.95,2019-07-21 19:15:00
1,25324,236,5.95,2019-07-21 19:15:00
1,25324,158,7.95,2019-07-21 19:15:00
2,25310,269,3.95,2019-07-21 13:17:00
3,25310,99,2.95,2019-07-21 13:17:00
1,25310,85,8.95,2019-07-21 13:17:00
1,25310,64,7.95,2019-07-21 13:17:00
1,25323,258,2.5,2019-07-21 19:15:00
1,25323,242,8.95,2019-07-21 19:15:00
1,25323,199,4.95,2019-07-21 19:15:00
1,25313,51,10.95,2019-07-21 17:28:00
1,25313,171,3.95,2019-07-21 17:28:00
1,25313,163,3.95,2019-07-21 17:28:00
