Quantity,order_id,Item_ID,Price,date
1,25329,22,5.95,2019-07-22 19:30:00
2,25329,194,0.5,2019-07-22 19:30:00
1,25329,216,0.8,2019-07-22 19:30:00
1,25329,178,3.95,2019-07-22 19:30:00
1,25329,51,10.95,2019-07-22 19:30:00
1,25329,135,5.95,2019-07-22 19:30:00
1,25331,22,5.95,2019-07-22 19:42:00
1,25331,214,2.95,2019-07-22 19:42:00
1,25331,169,0.5,2019-07-22 19:42:00
2,25331,216,0.8,2019-07-22 19:42:00
1,25331,54,8.95,2019-07-22 19:42:00
2,25331,215,2.95,2019-07-22 19:42:00
2,25331,223,0.5,2019-07-22 19:42:00
1,25331,269,3.95,2019-07-22 19:42:00
1,25331,99,2.95,2019-07-22 19:42:00
2,25331,158,7.95,2019-07-22 19:42:00
1,25332,22,5.95,2019-07-22 19:43:00
1,25332,214,2.95,2019-07-22 19:43:00
1,25332,169,0.5,2019-07-22 19:43:00
2,25332,216,0.8,2019-07-22 19:43:00
1,25332,54,8.95,2019-07-22 19:43:00
2,25332,215,2.95,2019-07-22 19:43:00
2,25332,223,0.5,2019-07-22 19:43:00
1,25332,269,3.95,2019-07-22 19:43:00
1,25332,99,2.95,2019-07-22 19:43:00
2,25332,158,7.95,2019-07-22 19:43:00
1,25337,22,5.95,2019-07-22 20:53:00
1,25337,192,2.5,2019-07-22 20:53:00
1,25337,35,8.95,2019-07-22 20:53:00
1,25335,52,8.95,2019-07-22 20:11:00
1,25335,179,0.5,2019-07-22 20:11:00
1,25335,124,8.95,2019-07-22 20:11:00
1,25333,217,2.95,2019-07-22 19:48:00
1,25333,216,0.8,2019-07-22 19:48:00
1,25333,27,8.95,2019-07-22 19:48:00
1,25333,192,2.5,2019-07-22 19:48:00
1,25334,49,8.95,2019-07-22 20:00:00
1,25334,54,8.95,2019-07-22 20:00:00
2,25334,215,2.95,2019-07-22 20:00:00
1,25334,178,3.95,2019-07-22 20:00:00
1,25334,23,2.95,2019-07-22 20:00:00
1,25330,34,4.95,2019-07-22 19:32:00
1,25327,193,3.95,2019-07-22 16:35:00
1,25327,256,11.95,2019-07-22 16:35:00
1,25327,170,4.95,2019-07-22 16:35:00
1,25327,251,10.95,2019-07-22 16:35:00
1,25327,4,5.95,2019-07-22 16:35:00
1,25336,118,12.95,2019-07-22 20:23:00
