Quantity,order_id,Item_ID,Price,date
1,25350,22,5.95,2019-07-24 16:27:00
2,25350,217,2.95,2019-07-24 16:27:00
1,25350,169,0.5,2019-07-24 16:27:00
1,25350,27,8.95,2019-07-24 16:27:00
1,25350,190,3.95,2019-07-24 16:27:00
1,25350,54,8.95,2019-07-24 16:27:00
1,25350,92,3.95,2019-07-24 16:27:00
1,25350,99,2.95,2019-07-24 16:27:00
1,25350,48,4.95,2019-07-24 16:27:00
1,25350,64,7.95,2019-07-24 16:27:00
1,25351,22,5.95,2019-07-24 18:21:00
2,25351,216,0.8,2019-07-24 18:21:00
1,25351,190,3.95,2019-07-24 18:21:00
1,25351,49,8.95,2019-07-24 18:21:00
2,25351,215,2.95,2019-07-24 18:21:00
1,25351,236,5.95,2019-07-24 18:21:00
1,25351,50,10.95,2019-07-24 18:21:00
1,25351,147,10.95,2019-07-24 18:21:00
1,25356,110,2.95,2019-07-24 19:52:00
1,25356,179,0.5,2019-07-24 19:52:00
1,25356,54,8.95,2019-07-24 19:52:00
2,25356,215,2.95,2019-07-24 19:52:00
2,25356,99,2.95,2019-07-24 19:52:00
1,25356,273,7.95,2019-07-24 19:52:00
2,25352,217,2.95,2019-07-24 18:51:00
1,25352,27,8.95,2019-07-24 18:51:00
1,25352,99,2.95,2019-07-24 18:51:00
1,25352,193,3.95,2019-07-24 18:51:00
1,25352,7,5.95,2019-07-24 18:51:00
1,25352,271,3.95,2019-07-24 18:51:00
1,25352,267,6.95,2019-07-24 18:51:00
1,25357,179,0.5,2019-07-24 20:35:00
2,25357,216,0.8,2019-07-24 20:35:00
1,25357,190,3.95,2019-07-24 20:35:00
1,25357,239,5.95,2019-07-24 20:35:00
1,25357,215,2.95,2019-07-24 20:35:00
1,25357,223,0.5,2019-07-24 20:35:00
1,25357,193,3.95,2019-07-24 20:35:00
1,25357,30,5.95,2019-07-24 20:35:00
1,25357,55,8.95,2019-07-24 20:35:00
1,25357,202,8.95,2019-07-24 20:35:00
1,25357,196,8.95,2019-07-24 20:35:00
1,25355,216,0.8,2019-07-24 19:40:00
1,25355,31,1.95,2019-07-24 19:40:00
1,25355,51,10.95,2019-07-24 19:40:00
1,25355,193,3.95,2019-07-24 19:40:00
1,25355,271,3.95,2019-07-24 19:40:00
1,25355,170,4.95,2019-07-24 19:40:00
3,25354,239,5.95,2019-07-24 19:24:00
1,25354,56,9.95,2019-07-24 19:24:00
1,25353,54,8.95,2019-07-24 19:11:00
1,25353,215,2.95,2019-07-24 19:11:00
2,25353,192,2.5,2019-07-24 19:11:00
