Quantity,order_id,Item_ID,Price,date
1,25359,5,5.95,2019-07-25 17:36:00
1,25359,31,1.95,2019-07-25 17:36:00
1,25359,107,8.95,2019-07-25 17:36:00
1,25359,204,2.95,2019-07-25 17:36:00
1,25359,67,7.95,2019-07-25 17:36:00
1,25361,22,5.95,2019-07-25 18:05:00
1,25361,217,2.95,2019-07-25 18:05:00
3,25361,31,1.95,2019-07-25 18:05:00
2,25361,49,8.95,2019-07-25 18:05:00
1,25361,215,2.95,2019-07-25 18:05:00
1,25361,271,3.95,2019-07-25 18:05:00
1,25361,249,9.95,2019-07-25 18:05:00
1,25361,158,7.95,2019-07-25 18:05:00
1,25367,22,5.95,2019-07-25 18:39:00
1,25367,215,2.95,2019-07-25 18:39:00
2,25367,99,2.95,2019-07-25 18:39:00
1,25367,237,5.95,2019-07-25 18:39:00
1,25367,30,5.95,2019-07-25 18:39:00
1,25367,39,8.95,2019-07-25 18:39:00
1,25367,59,3.95,2019-07-25 18:39:00
1,25367,46,9.95,2019-07-25 18:39:00
1,25371,22,5.95,2019-07-25 19:38:00
2,25371,194,0.5,2019-07-25 19:38:00
2,25371,216,0.8,2019-07-25 19:38:00
1,25371,215,2.95,2019-07-25 19:38:00
1,25371,135,5.95,2019-07-25 19:38:00
1,25371,12,8.95,2019-07-25 19:38:00
1,25372,22,5.95,2019-07-25 19:41:00
1,25372,52,8.95,2019-07-25 19:41:00
1,25372,110,2.95,2019-07-25 19:41:00
1,25372,215,2.95,2019-07-25 19:41:00
1,25375,22,5.95,2019-07-25 20:17:00
1,25375,190,3.95,2019-07-25 20:17:00
1,25375,54,8.95,2019-07-25 20:17:00
1,25375,215,2.95,2019-07-25 20:17:00
1,25375,99,2.95,2019-07-25 20:17:00
1,25375,183,8.95,2019-07-25 20:17:00
1,25375,88,8.95,2019-07-25 20:17:00
2,25364,110,2.95,2019-07-25 18:32:00
2,25364,216,0.8,2019-07-25 18:32:00
1,25364,27,8.95,2019-07-25 18:32:00
2,25364,215,2.95,2019-07-25 18:32:00
1,25364,192,2.5,2019-07-25 18:32:00
2,25364,223,0.5,2019-07-25 18:32:00
1,25364,236,5.95,2019-07-25 18:32:00
1,25364,138,8.95,2019-07-25 18:32:00
1,25364,201,9.95,2019-07-25 18:32:00
2,25368,110,2.95,2019-07-25 18:47:00
4,25368,216,0.8,2019-07-25 18:47:00
1,25368,54,8.95,2019-07-25 18:47:00
2,25368,215,2.95,2019-07-25 18:47:00
1,25368,33,9.95,2019-07-25 18:47:00
1,25368,121,8.95,2019-07-25 18:47:00
1,25360,214,2.95,2019-07-25 17:50:00
1,25360,215,2.95,2019-07-25 17:50:00
1,25360,236,5.95,2019-07-25 17:50:00
1,25360,66,11.95,2019-07-25 17:50:00
1,25360,82,9.95,2019-07-25 17:50:00
1,25358,217,2.95,2019-07-25 15:52:00
1,25358,27,8.95,2019-07-25 15:52:00
1,25358,33,9.95,2019-07-25 15:52:00
1,25358,99,2.95,2019-07-25 15:52:00
1,25358,155,2.95,2019-07-25 15:52:00
1,25358,171,3.95,2019-07-25 15:52:00
1,25363,217,2.95,2019-07-25 18:20:00
1,25363,49,8.95,2019-07-25 18:20:00
1,25363,136,9.95,2019-07-25 18:20:00
1,25363,200,9.95,2019-07-25 18:20:00
1,25363,46,9.95,2019-07-25 18:20:00
2,25374,217,2.95,2019-07-25 20:00:00
1,25374,169,0.5,2019-07-25 20:00:00
2,25374,216,0.8,2019-07-25 20:00:00
1,25374,54,8.95,2019-07-25 20:00:00
2,25374,215,2.95,2019-07-25 20:00:00
3,25374,192,2.5,2019-07-25 20:00:00
2,25374,223,0.5,2019-07-25 20:00:00
1,25374,99,2.95,2019-07-25 20:00:00
1,25374,2,5.95,2019-07-25 20:00:00
1,25374,96,8.95,2019-07-25 20:00:00
1,25374,274,8.95,2019-07-25 20:00:00
1,25376,217,2.95,2019-07-25 20:42:00
1,25376,190,3.95,2019-07-25 20:42:00
1,25376,33,9.95,2019-07-25 20:42:00
1,25376,256,11.95,2019-07-25 20:42:00
1,25376,121,8.95,2019-07-25 20:42:00
1,25376,161,7.95,2019-07-25 20:42:00
1,25370,156,0.5,2019-07-25 19:03:00
1,25370,169,0.5,2019-07-25 19:03:00
3,25370,216,0.8,2019-07-25 19:03:00
1,25370,54,8.95,2019-07-25 19:03:00
1,25370,215,2.95,2019-07-25 19:03:00
1,25370,192,2.5,2019-07-25 19:03:00
1,25370,223,0.5,2019-07-25 19:03:00
1,25370,244,3.95,2019-07-25 19:03:00
1,25370,178,3.95,2019-07-25 19:03:00
1,25370,249,9.95,2019-07-25 19:03:00
1,25362,216,0.8,2019-07-25 18:09:00
2,25362,215,2.95,2019-07-25 18:09:00
1,25362,192,2.5,2019-07-25 18:09:00
1,25362,126,4.95,2019-07-25 18:09:00
1,25362,121,8.95,2019-07-25 18:09:00
1,25369,216,0.8,2019-07-25 18:56:00
1,25369,215,2.95,2019-07-25 18:56:00
1,25369,192,2.5,2019-07-25 18:56:00
1,25369,223,0.5,2019-07-25 18:56:00
1,25369,121,8.95,2019-07-25 18:56:00
1,25365,54,8.95,2019-07-25 18:36:00
2,25365,215,2.95,2019-07-25 18:36:00
1,25365,192,2.5,2019-07-25 18:36:00
1,25365,53,9.95,2019-07-25 18:36:00
1,25365,91,3.95,2019-07-25 18:36:00
1,25366,215,2.95,2019-07-25 18:37:00
1,25366,193,3.95,2019-07-25 18:37:00
1,25366,30,5.95,2019-07-25 18:37:00
1,25366,191,5.95,2019-07-25 18:37:00
1,25373,192,2.5,2019-07-25 19:50:00
