Quantity,order_id,Item_ID,Price,date
1,25420,5,5.95,2019-07-27 18:30:00
1,25420,110,2.95,2019-07-27 18:30:00
1,25420,215,2.95,2019-07-27 18:30:00
1,25420,171,3.95,2019-07-27 18:30:00
1,25420,161,7.95,2019-07-27 18:30:00
1,25445,5,5.95,2019-07-27 21:16:00
1,25445,217,2.95,2019-07-27 21:16:00
1,25445,169,0.5,2019-07-27 21:16:00
1,25445,179,0.5,2019-07-27 21:16:00
8,25445,216,0.8,2019-07-27 21:16:00
3,25445,99,2.95,2019-07-27 21:16:00
1,25445,236,5.95,2019-07-27 21:16:00
1,25445,249,9.95,2019-07-27 21:16:00
1,25445,204,2.95,2019-07-27 21:16:00
1,25445,100,3.95,2019-07-27 21:16:00
1,25445,254,12.95,2019-07-27 21:16:00
1,25445,121,8.95,2019-07-27 21:16:00
1,25409,22,5.95,2019-07-27 16:46:00
1,25409,190,3.95,2019-07-27 16:46:00
1,25409,54,8.95,2019-07-27 16:46:00
1,25409,99,2.95,2019-07-27 16:46:00
1,25409,271,3.95,2019-07-27 16:46:00
1,25429,22,5.95,2019-07-27 19:03:00
1,25429,49,8.95,2019-07-27 19:03:00
1,25429,54,8.95,2019-07-27 19:03:00
2,25429,215,2.95,2019-07-27 19:03:00
1,25429,178,3.95,2019-07-27 19:03:00
1,25430,22,5.95,2019-07-27 19:05:00
1,25430,49,8.95,2019-07-27 19:05:00
1,25430,215,2.95,2019-07-27 19:05:00
1,25430,192,2.5,2019-07-27 19:05:00
1,25430,178,3.95,2019-07-27 19:05:00
1,25430,99,2.95,2019-07-27 19:05:00
1,25430,40,4.95,2019-07-27 19:05:00
1,25430,228,8.95,2019-07-27 19:05:00
1,25431,22,5.95,2019-07-27 19:06:00
1,25431,110,2.95,2019-07-27 19:06:00
1,25431,217,2.95,2019-07-27 19:06:00
1,25431,190,3.95,2019-07-27 19:06:00
1,25431,54,8.95,2019-07-27 19:06:00
1,25431,192,2.5,2019-07-27 19:06:00
1,25431,171,3.95,2019-07-27 19:06:00
1,25431,35,8.95,2019-07-27 19:06:00
1,25431,121,8.95,2019-07-27 19:06:00
1,25435,22,5.95,2019-07-27 19:29:00
1,25435,190,3.95,2019-07-27 19:29:00
1,25435,31,1.95,2019-07-27 19:29:00
3,25435,49,8.95,2019-07-27 19:29:00
1,25435,215,2.95,2019-07-27 19:29:00
1,25435,192,2.5,2019-07-27 19:29:00
1,25435,92,3.95,2019-07-27 19:29:00
1,25435,249,9.95,2019-07-27 19:29:00
1,25435,85,8.95,2019-07-27 19:29:00
1,25441,22,5.95,2019-07-27 20:17:00
1,25441,179,0.5,2019-07-27 20:17:00
2,25441,194,0.5,2019-07-27 20:17:00
4,25441,216,0.8,2019-07-27 20:17:00
1,25441,190,3.95,2019-07-27 20:17:00
1,25441,223,0.5,2019-07-27 20:17:00
2,25441,222,1.95,2019-07-27 20:17:00
1,25441,12,8.95,2019-07-27 20:17:00
1,25441,207,8.95,2019-07-27 20:17:00
1,25442,22,5.95,2019-07-27 20:19:00
1,25442,169,0.5,2019-07-27 20:19:00
2,25442,216,0.8,2019-07-27 20:19:00
1,25442,54,8.95,2019-07-27 20:19:00
1,25442,215,2.95,2019-07-27 20:19:00
1,25442,204,2.95,2019-07-27 20:19:00
1,25419,52,8.95,2019-07-27 18:08:00
2,25419,217,2.95,2019-07-27 18:08:00
1,25419,99,2.95,2019-07-27 18:08:00
1,25419,270,5.95,2019-07-27 18:08:00
1,25419,78,8.95,2019-07-27 18:08:00
1,25413,110,2.95,2019-07-27 17:51:00
2,25413,190,3.95,2019-07-27 17:51:00
1,25413,54,8.95,2019-07-27 17:51:00
1,25413,236,5.95,2019-07-27 17:51:00
1,25413,55,8.95,2019-07-27 17:51:00
1,25413,158,7.95,2019-07-27 17:51:00
1,25414,110,2.95,2019-07-27 17:51:00
1,25414,215,2.95,2019-07-27 17:51:00
1,25414,221,4.95,2019-07-27 17:51:00
1,25414,158,7.95,2019-07-27 17:51:00
1,25414,64,7.95,2019-07-27 17:51:00
1,25424,110,2.95,2019-07-27 18:52:00
1,25424,190,3.95,2019-07-27 18:52:00
1,25424,215,2.95,2019-07-27 18:52:00
1,25424,33,9.95,2019-07-27 18:52:00
1,25424,158,7.95,2019-07-27 18:52:00
1,25424,64,7.95,2019-07-27 18:52:00
1,25443,110,2.95,2019-07-27 20:46:00
1,25443,214,2.95,2019-07-27 20:46:00
1,25443,154,3.95,2019-07-27 20:46:00
1,25443,244,3.95,2019-07-27 20:46:00
1,25443,202,8.95,2019-07-27 20:46:00
1,25443,265,7.95,2019-07-27 20:46:00
1,25443,124,8.95,2019-07-27 20:46:00
1,25406,127,2.95,2019-07-27 15:11:00
1,25406,190,3.95,2019-07-27 15:11:00
1,25406,102,8.95,2019-07-27 15:11:00
2,25406,206,8.95,2019-07-27 15:11:00
1,25406,185,8.95,2019-07-27 15:11:00
1,25410,214,2.95,2019-07-27 17:32:00
1,25410,179,0.5,2019-07-27 17:32:00
1,25410,194,0.5,2019-07-27 17:32:00
2,25410,216,0.8,2019-07-27 17:32:00
4,25410,33,9.95,2019-07-27 17:32:00
1,25410,192,2.5,2019-07-27 17:32:00
1,25410,223,0.5,2019-07-27 17:32:00
1,25410,92,3.95,2019-07-27 17:32:00
2,25410,99,2.95,2019-07-27 17:32:00
1,25410,53,9.95,2019-07-27 17:32:00
1,25411,214,2.95,2019-07-27 17:36:00
4,25411,215,2.95,2019-07-27 17:36:00
1,25411,48,4.95,2019-07-27 17:36:00
2,25411,53,9.95,2019-07-27 17:36:00
1,25412,214,2.95,2019-07-27 17:41:00
1,25412,169,0.5,2019-07-27 17:41:00
2,25412,216,0.8,2019-07-27 17:41:00
1,25412,27,8.95,2019-07-27 17:41:00
2,25412,215,2.95,2019-07-27 17:41:00
1,25412,192,2.5,2019-07-27 17:41:00
1,25412,48,4.95,2019-07-27 17:41:00
1,25412,158,7.95,2019-07-27 17:41:00
1,25434,214,2.95,2019-07-27 19:15:00
1,25434,27,8.95,2019-07-27 19:15:00
1,25434,190,3.95,2019-07-27 19:15:00
1,25434,215,2.95,2019-07-27 19:15:00
1,25434,43,8.95,2019-07-27 19:15:00
1,25434,34,4.95,2019-07-27 19:15:00
1,25434,236,5.95,2019-07-27 19:15:00
2,25434,193,3.95,2019-07-27 19:15:00
1,25434,171,3.95,2019-07-27 19:15:00
1,25425,217,2.95,2019-07-27 18:53:00
1,25425,179,0.5,2019-07-27 18:53:00
1,25425,216,0.8,2019-07-27 18:53:00
1,25425,193,3.95,2019-07-27 18:53:00
1,25425,9,5.95,2019-07-27 18:53:00
1,25425,28,5.95,2019-07-27 18:53:00
1,25425,246,3.95,2019-07-27 18:53:00
1,25425,251,10.95,2019-07-27 18:53:00
1,25425,113,12.95,2019-07-27 18:53:00
1,25425,80,12.95,2019-07-27 18:53:00
