Quantity,order_id,Item_ID,Price,date
1,25456,5,5.95,2019-07-28 17:51:00
2,25456,216,0.8,2019-07-28 17:51:00
1,25456,49,8.95,2019-07-28 17:51:00
1,25456,215,2.95,2019-07-28 17:51:00
1,25456,192,2.5,2019-07-28 17:51:00
1,25456,36,8.95,2019-07-28 17:51:00
1,25456,11,8.95,2019-07-28 17:51:00
1,25461,5,5.95,2019-07-28 18:38:00
1,25461,49,8.95,2019-07-28 18:38:00
1,25461,39,8.95,2019-07-28 18:38:00
1,25465,5,5.95,2019-07-28 19:46:00
1,25465,217,2.95,2019-07-28 19:46:00
1,25465,169,0.5,2019-07-28 19:46:00
1,25465,216,0.8,2019-07-28 19:46:00
1,25465,31,1.95,2019-07-28 19:46:00
1,25465,178,3.95,2019-07-28 19:46:00
1,25465,99,2.95,2019-07-28 19:46:00
1,25465,256,11.95,2019-07-28 19:46:00
1,25465,123,12.95,2019-07-28 19:46:00
1,25452,22,5.95,2019-07-28 17:32:00
2,25452,194,0.5,2019-07-28 17:32:00
1,25452,54,8.95,2019-07-28 17:32:00
2,25452,215,2.95,2019-07-28 17:32:00
1,25452,192,2.5,2019-07-28 17:32:00
2,25452,223,0.5,2019-07-28 17:32:00
1,25452,99,2.95,2019-07-28 17:32:00
1,25452,102,8.95,2019-07-28 17:32:00
1,25452,91,3.95,2019-07-28 17:32:00
1,25452,12,8.95,2019-07-28 17:32:00
1,25453,22,5.95,2019-07-28 17:36:00
1,25453,215,2.95,2019-07-28 17:36:00
1,25453,36,8.95,2019-07-28 17:36:00
1,25453,99,2.95,2019-07-28 17:36:00
1,25453,193,3.95,2019-07-28 17:36:00
1,25455,22,5.95,2019-07-28 17:42:00
2,25455,110,2.95,2019-07-28 17:42:00
1,25455,169,0.5,2019-07-28 17:42:00
1,25455,216,0.8,2019-07-28 17:42:00
1,25455,215,2.95,2019-07-28 17:42:00
1,25455,206,8.95,2019-07-28 17:42:00
1,25457,22,5.95,2019-07-28 17:54:00
1,25457,192,2.5,2019-07-28 17:54:00
1,25457,244,3.95,2019-07-28 17:54:00
1,25457,92,3.95,2019-07-28 17:54:00
1,25457,193,3.95,2019-07-28 17:54:00
1,25457,262,9.95,2019-07-28 17:54:00
1,25459,22,5.95,2019-07-28 18:20:00
1,25459,217,2.95,2019-07-28 18:20:00
1,25459,169,0.5,2019-07-28 18:20:00
3,25459,216,0.8,2019-07-28 18:20:00
1,25459,190,3.95,2019-07-28 18:20:00
1,25459,192,2.5,2019-07-28 18:20:00
1,25459,223,0.5,2019-07-28 18:20:00
1,25459,178,3.95,2019-07-28 18:20:00
1,25459,99,2.95,2019-07-28 18:20:00
1,25459,245,0.8,2019-07-28 18:20:00
3,25459,158,7.95,2019-07-28 18:20:00
1,25459,276,7.95,2019-07-28 18:20:00
1,25469,110,2.95,2019-07-28 20:44:00
1,25469,169,0.5,2019-07-28 20:44:00
1,25469,179,0.5,2019-07-28 20:44:00
4,25469,216,0.8,2019-07-28 20:44:00
1,25469,31,1.95,2019-07-28 20:44:00
1,25469,215,2.95,2019-07-28 20:44:00
1,25469,236,5.95,2019-07-28 20:44:00
1,25469,95,8.95,2019-07-28 20:44:00
1,25469,180,5.95,2019-07-28 20:44:00
1,25469,38,8.95,2019-07-28 20:44:00
1,25471,214,2.95,2019-07-28 21:32:00
1,25471,236,5.95,2019-07-28 21:32:00
1,25471,273,7.95,2019-07-28 21:32:00
1,25462,217,2.95,2019-07-28 19:01:00
1,25462,31,1.95,2019-07-28 19:01:00
1,25462,248,8.95,2019-07-28 19:01:00
2,25462,171,3.95,2019-07-28 19:01:00
1,25462,40,4.95,2019-07-28 19:01:00
1,25462,85,8.95,2019-07-28 19:01:00
1,25462,88,8.95,2019-07-28 19:01:00
1,25464,217,2.95,2019-07-28 19:28:00
3,25464,216,0.8,2019-07-28 19:28:00
1,25464,192,2.5,2019-07-28 19:28:00
1,25464,48,4.95,2019-07-28 19:28:00
1,25464,126,4.95,2019-07-28 19:28:00
1,25464,23,2.95,2019-07-28 19:28:00
1,25454,169,0.5,2019-07-28 17:37:00
3,25454,216,0.8,2019-07-28 17:37:00
1,25454,54,8.95,2019-07-28 17:37:00
1,25454,215,2.95,2019-07-28 17:37:00
1,25454,192,2.5,2019-07-28 17:37:00
1,25454,223,0.5,2019-07-28 17:37:00
2,25454,244,3.95,2019-07-28 17:37:00
1,25454,38,8.95,2019-07-28 17:37:00
1,25454,65,8.95,2019-07-28 17:37:00
