Quantity,order_id,Item_ID,Price,date
1,25482,29,5.95,2019-07-29 21:25:00
1,25482,233,2.5,2019-07-29 21:25:00
1,25482,234,3.95,2019-07-29 21:25:00
1,25482,45,8.95,2019-07-29 21:25:00
1,25473,260,2.95,2019-07-29 17:49:00
2,25473,41,1.95,2019-07-29 17:49:00
1,25473,234,3.95,2019-07-29 17:49:00
1,25473,33,5.95,2019-07-29 17:49:00
1,25473,9,5.95,2019-07-29 17:49:00
1,25473,312,5.95,2019-07-29 17:49:00
1,25473,136,12.95,2019-07-29 17:49:00
1,25473,96,12.95,2019-07-29 17:49:00
1,25473,97,8.95,2019-07-29 17:49:00
3,25472,263,2.95,2019-07-29 17:36:00
1,25472,204,0.5,2019-07-29 17:36:00
3,25472,217,0.5,2019-07-29 17:36:00
1,25472,235,0.5,2019-07-29 17:36:00
4,25472,262,0.8,2019-07-29 17:36:00
1,25472,41,1.95,2019-07-29 17:36:00
1,25472,316,5.95,2019-07-29 17:36:00
1,25472,64,8.95,2019-07-29 17:36:00
1,25472,233,2.5,2019-07-29 17:36:00
1,25472,234,3.95,2019-07-29 17:36:00
1,25472,65,8.95,2019-07-29 17:36:00
1,25478,263,2.95,2019-07-29 19:09:00
1,25478,261,2.95,2019-07-29 19:09:00
1,25478,45,8.95,2019-07-29 19:09:00
1,25478,171,9.95,2019-07-29 19:09:00
1,25479,300,4.95,2019-07-29 19:28:00
2,25479,233,2.5,2019-07-29 19:28:00
1,25479,322,3.95,2019-07-29 19:28:00
3,25479,123,2.95,2019-07-29 19:28:00
1,25479,63,9.95,2019-07-29 19:28:00
1,25479,245,2.95,2019-07-29 19:28:00
1,25479,176,10.95,2019-07-29 19:28:00
2,25479,137,12.95,2019-07-29 19:28:00
1,25479,6,5.95,2019-07-29 19:28:00
2,25479,238,9.95,2019-07-29 19:28:00
2,25476,231,3.95,2019-07-29 18:35:00
1,25476,43,9.95,2019-07-29 18:35:00
1,25476,61,10.95,2019-07-29 18:35:00
1,25476,30,2.95,2019-07-29 18:35:00
1,25476,71,7.95,2019-07-29 18:35:00
1,25477,231,3.95,2019-07-29 18:36:00
1,25477,261,2.95,2019-07-29 18:36:00
1,25477,233,2.5,2019-07-29 18:36:00
1,25477,309,11.95,2019-07-29 18:36:00
1,25477,186,7.95,2019-07-29 18:36:00
2,25477,294,4.95,2019-07-29 18:36:00
1,25480,261,2.95,2019-07-29 19:50:00
1,25480,145,8.95,2019-07-29 19:50:00
1,25480,14,8.95,2019-07-29 19:50:00
