Quantity,order_id,Item_ID,Price,date
1,25502,29,5.95,2019-07-31 21:03:00
1,25502,217,0.5,2019-07-31 21:03:00
2,25502,311,2.5,2019-07-31 21:03:00
1,25502,51,8.95,2019-07-31 21:03:00
1,25501,62,8.95,2019-07-31 18:36:00
1,25501,42,9.95,2019-07-31 18:36:00
1,25501,41,1.95,2019-07-31 18:36:00
1,25501,311,2.5,2019-07-31 18:36:00
1,25501,291,5.95,2019-07-31 18:36:00
1,25499,260,2.95,2019-07-31 17:57:00
1,25499,316,5.95,2019-07-31 17:57:00
1,25499,116,3.95,2019-07-31 17:57:00
2,25499,123,2.95,2019-07-31 17:57:00
1,25499,301,8.95,2019-07-31 17:57:00
1,25499,145,8.95,2019-07-31 17:57:00
1,25499,326,7.95,2019-07-31 17:57:00
1,25499,35,5.5,2019-07-31 17:57:00
1,25504,204,0.5,2019-07-31 22:44:00
1,25504,262,0.8,2019-07-31 22:44:00
1,25504,292,5.95,2019-07-31 22:44:00
1,25504,61,10.95,2019-07-31 22:44:00
1,25504,218,5.95,2019-07-31 22:44:00
1,25504,11,8.95,2019-07-31 22:44:00
1,25500,39,4.95,2019-07-31 18:18:00
1,25500,302,9.95,2019-07-31 18:18:00
1,25500,209,8.95,2019-07-31 18:18:00
1,25503,247,8.95,2019-07-31 21:14:00
