Quantity,order_id,Item_ID,Price,date
1,25544,5,5.95,2019-08-02 20:28:00
1,25544,194,0.5,2019-08-02 20:28:00
1,25544,216,0.8,2019-08-02 20:28:00
1,25544,31,1.95,2019-08-02 20:28:00
1,25544,269,3.95,2019-08-02 20:28:00
1,25544,221,4.95,2019-08-02 20:28:00
1,25544,273,7.95,2019-08-02 20:28:00
1,25544,90,3.95,2019-08-02 20:28:00
1,25526,22,5.95,2019-08-02 18:14:00
1,25526,169,0.5,2019-08-02 18:14:00
1,25526,179,0.5,2019-08-02 18:14:00
1,25526,194,0.5,2019-08-02 18:14:00
5,25526,216,0.8,2019-08-02 18:14:00
1,25526,190,3.95,2019-08-02 18:14:00
1,25526,215,2.95,2019-08-02 18:14:00
2,25526,192,2.5,2019-08-02 18:14:00
2,25526,193,3.95,2019-08-02 18:14:00
1,25526,55,8.95,2019-08-02 18:14:00
2,25526,121,8.95,2019-08-02 18:14:00
1,25537,22,5.95,2019-08-02 19:25:00
1,25537,110,2.95,2019-08-02 19:25:00
1,25537,190,3.95,2019-08-02 19:25:00
1,25537,54,8.95,2019-08-02 19:25:00
1,25537,192,2.5,2019-08-02 19:25:00
1,25537,244,3.95,2019-08-02 19:25:00
1,25537,171,3.95,2019-08-02 19:25:00
1,25537,35,8.95,2019-08-02 19:25:00
1,25537,121,8.95,2019-08-02 19:25:00
1,25523,52,8.95,2019-08-02 17:43:00
1,25523,192,2.5,2019-08-02 17:43:00
1,25523,193,3.95,2019-08-02 17:43:00
1,25523,271,3.95,2019-08-02 17:43:00
1,25523,262,9.95,2019-08-02 17:43:00
1,25540,52,8.95,2019-08-02 19:47:00
2,25540,217,2.95,2019-08-02 19:47:00
1,25540,169,0.5,2019-08-02 19:47:00
1,25540,223,0.5,2019-08-02 19:47:00
1,25540,2,5.95,2019-08-02 19:47:00
1,25540,46,9.95,2019-08-02 19:47:00
1,25527,110,2.95,2019-08-02 18:16:00
1,25527,214,2.95,2019-08-02 18:16:00
1,25527,215,2.95,2019-08-02 18:16:00
2,25527,178,3.95,2019-08-02 18:16:00
2,25527,221,4.95,2019-08-02 18:16:00
1,25527,28,5.95,2019-08-02 18:16:00
1,25527,249,9.95,2019-08-02 18:16:00
1,25527,171,3.95,2019-08-02 18:16:00
1,25527,163,3.95,2019-08-02 18:16:00
1,25527,158,7.95,2019-08-02 18:16:00
1,25532,110,2.95,2019-08-02 19:14:00
1,25532,49,8.95,2019-08-02 19:14:00
1,25532,43,8.95,2019-08-02 19:14:00
1,25532,99,2.95,2019-08-02 19:14:00
1,25532,256,11.95,2019-08-02 19:14:00
1,25532,212,11.95,2019-08-02 19:14:00
1,25532,257,2.95,2019-08-02 19:14:00
1,25532,201,9.95,2019-08-02 19:14:00
1,25532,64,7.95,2019-08-02 19:14:00
1,25535,110,2.95,2019-08-02 19:24:00
1,25535,169,0.5,2019-08-02 19:24:00
2,25535,216,0.8,2019-08-02 19:24:00
1,25535,54,8.95,2019-08-02 19:24:00
1,25535,215,2.95,2019-08-02 19:24:00
1,25535,99,2.95,2019-08-02 19:24:00
1,25535,236,5.95,2019-08-02 19:24:00
1,25535,249,9.95,2019-08-02 19:24:00
1,25538,110,2.95,2019-08-02 19:30:00
1,25538,217,2.95,2019-08-02 19:30:00
1,25538,54,8.95,2019-08-02 19:30:00
1,25538,155,2.95,2019-08-02 19:30:00
1,25541,110,2.95,2019-08-02 20:09:00
1,25541,190,3.95,2019-08-02 20:09:00
1,25541,215,2.95,2019-08-02 20:09:00
1,25541,121,8.95,2019-08-02 20:09:00
1,25541,64,7.95,2019-08-02 20:09:00
1,25529,127,2.95,2019-08-02 18:52:00
1,25529,263,5.95,2019-08-02 18:52:00
1,25529,48,4.95,2019-08-02 18:52:00
1,25529,100,3.95,2019-08-02 18:52:00
1,25529,163,3.95,2019-08-02 18:52:00
1,25529,265,7.95,2019-08-02 18:52:00
1,25522,217,2.95,2019-08-02 12:04:00
2,25522,239,5.95,2019-08-02 12:04:00
1,25522,215,2.95,2019-08-02 12:04:00
2,25522,192,2.5,2019-08-02 12:04:00
1,25522,258,2.5,2019-08-02 12:04:00
1,25522,9,5.95,2019-08-02 12:04:00
1,25522,0,8.95,2019-08-02 12:04:00
2,25522,48,4.95,2019-08-02 12:04:00
1,25522,229,5.95,2019-08-02 12:04:00
1,25522,65,8.95,2019-08-02 12:04:00
1,25528,217,2.95,2019-08-02 18:20:00
1,25528,269,3.95,2019-08-02 18:20:00
2,25528,258,2.5,2019-08-02 18:20:00
1,25528,43,8.95,2019-08-02 18:20:00
1,25528,264,6.95,2019-08-02 18:20:00
1,25528,4,5.95,2019-08-02 18:20:00
1,25545,217,2.95,2019-08-02 22:06:00
1,25545,192,2.5,2019-08-02 22:06:00
1,25545,48,4.95,2019-08-02 22:06:00
1,25545,111,3.95,2019-08-02 22:06:00
1,25545,121,8.95,2019-08-02 22:06:00
1,25530,194,0.5,2019-08-02 19:07:00
3,25530,216,0.8,2019-08-02 19:07:00
1,25530,190,3.95,2019-08-02 19:07:00
1,25530,236,5.95,2019-08-02 19:07:00
1,25530,189,5.95,2019-08-02 19:07:00
1,25524,27,8.95,2019-08-02 17:48:00
1,25524,99,2.95,2019-08-02 17:48:00
1,25524,51,10.95,2019-08-02 17:48:00
1,25531,27,8.95,2019-08-02 19:14:00
1,25531,192,2.5,2019-08-02 19:14:00
2,25531,99,2.95,2019-08-02 19:14:00
1,25531,256,11.95,2019-08-02 19:14:00
1,25536,190,3.95,2019-08-02 19:24:00
1,25536,99,2.95,2019-08-02 19:24:00
1,25536,222,1.95,2019-08-02 19:24:00
1,25536,193,3.95,2019-08-02 19:24:00
1,25536,122,8.95,2019-08-02 19:24:00
1,25536,207,8.95,2019-08-02 19:24:00
1,25534,132,9.95,2019-08-02 19:20:00
1,25534,215,2.95,2019-08-02 19:20:00
1,25534,33,9.95,2019-08-02 19:20:00
1,25534,221,4.95,2019-08-02 19:20:00
1,25534,28,5.95,2019-08-02 19:20:00
1,25534,173,8.95,2019-08-02 19:20:00
1,25542,54,8.95,2019-08-02 20:09:00
1,25542,215,2.95,2019-08-02 20:09:00
1,25542,192,2.5,2019-08-02 20:09:00
2,25542,178,3.95,2019-08-02 20:09:00
1,25525,215,2.95,2019-08-02 17:57:00
1,25525,99,2.95,2019-08-02 17:57:00
1,25525,256,11.95,2019-08-02 17:57:00
1,25525,56,9.95,2019-08-02 17:57:00
1,25525,158,7.95,2019-08-02 17:57:00
1,25543,215,2.95,2019-08-02 20:14:00
1,25543,192,2.5,2019-08-02 20:14:00
1,25543,64,7.95,2019-08-02 20:14:00
1,25533,33,9.95,2019-08-02 19:19:00
1,25533,133,9.95,2019-08-02 19:19:00
1,25539,192,2.5,2019-08-02 19:32:00
1,25539,51,10.95,2019-08-02 19:32:00
1,25539,193,3.95,2019-08-02 19:32:00
1,25539,171,3.95,2019-08-02 19:32:00
1,25539,126,4.95,2019-08-02 19:32:00
1,25539,163,3.95,2019-08-02 19:32:00
1,25546,30,5.95,2019-08-02 22:43:00
1,25546,204,2.95,2019-08-02 22:43:00
1,25546,64,7.95,2019-08-02 22:43:00
