Quantity,order_id,Item_ID,Price,date
1,24307,256,11.95,2019-06-01 20:12:00
1,24307,99,2.95,2019-06-01 20:12:00
1,24307,215,2.95,2019-06-01 20:12:00
1,24307,239,5.95,2019-06-01 20:12:00
3,24307,31,1.95,2019-06-01 20:12:00
1,24307,193,3.95,2019-06-01 20:12:00
1,24307,5,5.95,2019-06-01 20:12:00
1,24307,251,10.95,2019-06-01 20:12:00
1,24307,259,5.95,2019-06-01 20:12:00
1,24307,180,5.95,2019-06-01 20:12:00
1,24307,271,3.95,2019-06-01 20:12:00
1,24307,209,8.95,2019-06-01 20:12:00
1,24303,256,11.95,2019-06-01 19:37:00
1,24303,31,1.95,2019-06-01 19:37:00
1,24303,193,3.95,2019-06-01 19:37:00
1,24303,241,4.95,2019-06-01 19:37:00
1,24303,258,2.5,2019-06-01 19:37:00
1,24303,26,5.95,2019-06-01 19:37:00
1,24303,81,8.95,2019-06-01 19:37:00
1,24299,256,11.95,2019-06-01 19:14:00
2,24299,216,0.8,2019-06-01 19:14:00
2,24299,194,0.5,2019-06-01 19:14:00
1,24299,215,2.95,2019-06-01 19:14:00
1,24299,22,5.95,2019-06-01 19:14:00
1,24299,69,3.95,2019-06-01 19:14:00
2,24295,256,11.95,2019-06-01 19:07:00
1,24295,27,8.95,2019-06-01 19:07:00
2,24295,193,3.95,2019-06-01 19:07:00
2,24295,192,2.5,2019-06-01 19:07:00
2,24295,110,2.95,2019-06-01 19:07:00
1,24295,219,10.95,2019-06-01 19:07:00
1,24295,81,8.95,2019-06-01 19:07:00
1,24282,256,11.95,2019-06-01 17:34:00
1,24282,190,3.95,2019-06-01 17:34:00
1,24282,127,2.95,2019-06-01 17:34:00
2,24282,206,8.95,2019-06-01 17:34:00
1,24282,185,8.95,2019-06-01 17:34:00
1,24268,256,11.95,2019-05-31 20:45:00
1,24268,99,2.95,2019-05-31 20:45:00
1,24268,217,2.95,2019-05-31 20:45:00
1,24268,216,0.8,2019-05-31 20:45:00
1,24268,169,0.5,2019-05-31 20:45:00
1,24268,31,1.95,2019-05-31 20:45:00
1,24268,5,5.95,2019-05-31 20:45:00
1,24268,178,3.95,2019-05-31 20:45:00
1,24268,123,12.95,2019-05-31 20:45:00
1,24266,256,11.95,2019-05-31 20:24:00
1,24266,214,2.95,2019-05-31 20:24:00
1,24266,113,12.95,2019-05-31 20:24:00
1,24242,256,11.95,2019-05-30 20:10:00
2,24242,99,2.95,2019-05-30 20:10:00
1,24242,215,2.95,2019-05-30 20:10:00
1,24242,23,2.95,2019-05-30 20:10:00
1,24242,158,7.95,2019-05-30 20:10:00
1,24242,133,9.95,2019-05-30 20:10:00
1,24242,121,8.95,2019-05-30 20:10:00
1,24219,256,11.95,2019-05-29 18:29:00
1,24219,99,2.95,2019-05-29 18:29:00
2,24219,216,0.8,2019-05-29 18:29:00
1,24219,179,0.5,2019-05-29 18:29:00
1,24219,23,2.95,2019-05-29 18:29:00
1,24219,193,3.95,2019-05-29 18:29:00
1,24219,192,2.5,2019-05-29 18:29:00
1,24219,195,3.95,2019-05-29 18:29:00
2,24219,121,8.95,2019-05-29 18:29:00
1,24219,171,3.95,2019-05-29 18:29:00
1,24219,271,3.95,2019-05-29 18:29:00
1,24219,143,9.95,2019-05-29 18:29:00
1,24207,256,11.95,2019-05-28 18:23:00
1,24207,217,2.95,2019-05-28 18:23:00
2,24207,216,0.8,2019-05-28 18:23:00
1,24207,23,2.95,2019-05-28 18:23:00
2,24207,192,2.5,2019-05-28 18:23:00
1,24207,121,8.95,2019-05-28 18:23:00
1,24207,111,3.95,2019-05-28 18:23:00
1,24167,256,11.95,2019-05-26 18:09:00
1,24167,99,2.95,2019-05-26 18:09:00
2,24167,215,2.95,2019-05-26 18:09:00
1,24167,202,8.95,2019-05-26 18:09:00
1,24167,110,2.95,2019-05-26 18:09:00
1,24167,133,9.95,2019-05-26 18:09:00
1,24167,2,5.95,2019-05-26 18:09:00
1,24167,39,8.95,2019-05-26 18:09:00
1,24167,234,8.95,2019-05-26 18:09:00
1,24162,256,11.95,2019-05-26 17:14:00
1,24162,259,5.95,2019-05-26 17:14:00
1,24162,191,5.95,2019-05-26 17:14:00
1,24157,256,11.95,2019-05-25 21:03:00
1,24157,217,2.95,2019-05-25 21:03:00
1,24157,215,2.95,2019-05-25 21:03:00
1,24157,271,3.95,2019-05-25 21:03:00
1,24157,238,5.95,2019-05-25 21:03:00
1,24151,256,11.95,2019-05-25 19:54:00
1,24151,217,2.95,2019-05-25 19:54:00
1,24151,239,5.95,2019-05-25 19:54:00
2,24151,31,1.95,2019-05-25 19:54:00
1,24151,251,10.95,2019-05-25 19:54:00
2,24151,259,5.95,2019-05-25 19:54:00
1,24127,256,11.95,2019-05-25 18:07:00
1,24127,194,0.5,2019-05-25 18:07:00
1,24127,179,0.5,2019-05-25 18:07:00
1,24127,259,5.95,2019-05-25 18:07:00
1,24127,9,5.95,2019-05-25 18:07:00
